FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Phil,Foden,MID,MCI,4800000,0,0,0.0,0.0,0.0,0,1972,0,0,0,0,0,0,0,0.0,62,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.0,475,0,0,0,0,0,38,0,0,0,Leicester,Huddersfield,Southampton,West Ham,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jose,Fonte,DEF,WHU,4900000,0,34,4.3,8.775510204081629e-07,6.9387755102040806e-06,0,114633,0,11,0,0,0,0,0,6.9,16943,-1,0,34,1,0.2,0,1.0,3,0,3,0,2,1.6,76518,0,0,0,0,688,50,0,0,156,Watford,Leicester,Everton,Man City,Chelsea,5.7,5.0,3.1,3.3,4.8,6.4,4.2,5.8,4.6,4.5,6.4,4.4,5.3,6.4,4.6,5.3,3.6,4.3,5.4,5.6,5.0,4.5,5.4,3.0,4.1,3.2,5.0,33.4
Fraser,Forster,GLK,SOU,5100000,2,51,4.6,9.019607843137251e-07,1e-05,0,218024,0,11,0,29,0,0,0,10.0,42579,1,0,51,-1,0.6,0,3.3,5,0,4,0,0,9.0,324300,0,0,1,1,990,5372,0,0,202,Liverpool,Everton,Man City,Bournemouth,Arsenal,4.9,4.5,4.7,6.0,6.1,4.6,5.9,6.2,5.9,4.0,6.2,6.9,4.8,5.4,5.9,5.7,5.9,5.0,5.3,5.7,5.8,4.3,4.3,4.6,4.9,4.4,3.6,22.3
Ben,Foster,GLK,WBA,4500000,2,31,3.1,6.88888888888889e-07,6.88888888888889e-06,0,395498,1,13,0,21,0,0,0,6.9,48975,0,0,31,0,0.4,0,2.0,1,0,3,0,0,11.9,288175,0,0,0,0,900,1490,0,0,160,Chelsea,Tottenham,Newcastle,Crystal Palace,Swansea,3.1,2.6,3.8,4.6,2.4,1.9,3.7,2.3,3.2,4.3,2.5,3.8,1.7,1.8,3.2,2.6,4.3,3.5,3.2,2.7,3.5,2.8,1.6,4.0,2.2,3.4,3.3,15.9
Timothy,Fosu-Mensah,DEF,CRY,4500000,2,12,1.3,2.88888888888889e-07,2.66666666666667e-06,0,66007,0,15,0,0,0,0,0,2.7,1552,0,0,12,0,0.2,0,1.0,0,0,0,0,0,1.0,28273,0,0,0,0,701,1144,0,0,130,Everton,Stoke,Brighton,West Brom,Bournemouth,0.8,0.9,0.7,0.6,0.9,0.9,0.6,0.6,1.2,0.6,0.8,0.9,0.6,0.6,1.0,0.6,0.8,1.0,0.6,0.6,1.1,0.7,1.0,1.0,0.8,0.6,1.2,21.1
Juan,Foyth,DEF,TOT,4500000,0,0,0.0,0.0,0.0,0,681,0,0,0,0,0,0,0,0.0,77,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,842,0,0,0,0,0,81,0,0,0,Arsenal,West Brom,Leicester,Watford,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Simon,Francis,DEF,BOU,4400000,6,22,2.4,5.454545454545451e-07,5e-06,0,107375,3,8,0,0,0,0,0,5.0,2604,-1,0,22,1,0.7,0,3.0,1,0,2,0,0,1.4,39358,0,0,0,0,754,15563,0,0,143,Huddersfield,Swansea,Burnley,Southampton,Crystal Palace,2.8,2.0,2.0,1.9,3.0,1.2,2.4,1.5,2.5,1.8,2.2,2.7,2.1,2.1,2.1,2.1,2.3,1.5,2.0,2.7,2.8,3.4,1.6,2.2,2.4,1.5,2.1,28.2
Ryan,Fraser,MID,BOU,5200000,0,8,0.7272727272727271,1.3986013986014e-07,1.53846153846154e-06,0,56323,0,5,0,0,0,0,0,1.5,684,-3,0,8,3,0.0,0,0.0,0,0,0,0,0,0.3,7233,0,0,0,0,270,118,0,0,32,Huddersfield,Swansea,Burnley,Southampton,Crystal Palace,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,14.3
Christian,Fuchs,DEF,LEI,4900000,1,33,3.7,7.55102040816327e-07,6.73469387755102e-06,0,120792,1,12,0,0,0,0,0,6.7,9240,-1,0,33,1,1.0,0,4.7,6,0,3,0,1,2.7,63097,0,0,0,1,810,4255,0,0,167,Man City,West Ham,Tottenham,Burnley,Newcastle,3.3,3.5,4.3,4.4,3.1,4.1,5.6,4.6,4.7,2.8,5.3,3.6,4.3,2.4,3.5,2.6,4.4,4.4,3.5,5.3,3.6,4.7,3.6,4.1,4.1,5.0,3.6,30.2
Jay,Fulton,MID,SWA,4400000,0,0,0.0,0.0,0.0,0,2722,1,0,0,0,0,0,0,0.0,143,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.1,3141,0,0,0,0,16,66,0,0,-2,Burnley,Bournemouth,Chelsea,Stoke,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
