FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Phil,Jagielka,DEF,EVE,4700000,0,26,1.3,2.76595744680851e-07,5.5319148936170195e-06,0,325252,0,23,0,0,0,0,0,5.5,5903,-3,0,26,3,0.4,0,1.8,4,0,2,0,0,2.6,101747,0,0,0,1,994,1926,0,0,205,Bournemouth,Man Utd,Tottenham,West Brom,Leicester,0.6,0.9,0.6,1.1,0.7,0.6,1.8,0.9,0.6,1.3,0.6,0.7,0.9,0.6,0.8,0.6,0.9,0.7,33.1
Eldin,Jakupovic,GLK,LEI,4200000,0,0,0.0,0.0,0.0,0,8463,0,0,0,0,0,0,0,0.0,151,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.1,915,0,0,0,0,0,44,0,0,0,Liverpool,Huddersfield,Chelsea,Watford,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matty,James,MID,LEI,4400000,0,8,0.4,9.09090909090909e-08,1.81818181818182e-06,0,24871,1,6,0,0,0,0,0,1.8,165,-1,0,8,1,0.0,0,0.0,0,0,1,0,0,0.2,16605,0,0,0,0,338,54,0,0,35,Liverpool,Huddersfield,Chelsea,Watford,Everton,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,7.3
Daryl,Janmaat,DEF,WAT,4800000,2,21,1.05,2.1875e-07,4.375e-06,0,18977,1,15,0,0,0,2,0,4.4,1151,-2,0,21,2,0.5,0,2.3,2,0,0,0,0,0.3,19572,0,0,0,1,585,3828,0,0,100,Swansea,Man City,Southampton,Leicester,Stoke,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.5,0.6,0.5,0.5,0.5,0.5,0.5,1.3,0.5,0.5,0.5,31.2
Vincent,Janssen,FWD,TOT,7400000,0,1,1.0,1.35135135135135e-07,1.35135135135135e-07,0,8795,0,0,0,0,0,0,0,0.1,26,-1,0,1,1,0.0,0,0.0,0,0,0,0,0,0.1,940,0,0,0,0,1,3,0,0,2,Swansea,West Ham,Everton,Southampton,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carl,Jenkinson,DEF,ARS,4500000,0,0,0.0,0.0,0.0,0,13017,0,0,0,0,0,0,0,0.0,80,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,714,0,0,0,0,0,2,0,0,0,West Brom,Chelsea,Bournemouth,Crystal Palace,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Jese,MID,STK,5400000,0,26,1.3,2.40740740740741e-07,4.81481481481482e-06,0,575562,0,14,0,0,0,1,0,4.7,3790,-6,1,26,6,0.0,0,0.0,2,0,1,0,1,2.1,577552,0,0,0,1,482,16,-1,0,77,Chelsea,Newcastle,Man Utd,Huddersfield,Watford,0.6,0.8,0.6,1.0,0.6,0.7,0.8,0.6,0.6,0.6,1.0,0.6,0.6,0.6,0.7,0.6,0.7,0.8,34.7
,Jesus,FWD,MCI,10100000,2,76,4.5,4.455445544554461e-07,7.524752475247529e-06,0,2060392,3,8,0,0,0,8,0,7.5,69049,-4,0,76,4,0.1,1,0.8,11,0,6,0,4,8.0,1828559,0,0,0,2,985,10204,0,0,267,Crystal Palace,Watford,Liverpool,Newcastle,West Brom,5.4,5.0,4.4,5.6,5.7,4.7,5.5,3.8,4.0,5.9,5.8,4.8,5.3,4.5,5.2,4.7,5.9,5.4,135.3
,Joel Pereira,GLK,MUN,3900000,0,0,0.0,0.0,0.0,0,98922,0,0,0,0,0,0,0,0.0,7128,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,5.1,273384,0,0,0,0,0,30810,0,0,0,Southampton,Everton,Stoke,Burnley,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben,Johnson,MID,WHU,4500000,0,0,0.0,0.0,0.0,0,332,0,0,0,0,0,0,0,0.0,60,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,627,0,0,0,0,0,41,0,0,0,West Brom,Tottenham,Huddersfield,Bournemouth,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glen,Johnson,DEF,STK,4100000,0,1,0.05,1.2195121951219498e-08,2.4390243902438996e-07,0,31466,0,6,0,0,0,0,0,0.2,565,-4,0,1,4,0.0,0,0.0,0,0,0,0,0,0.2,6426,0,0,0,0,149,90,0,0,23,Chelsea,Newcastle,Man Utd,Huddersfield,Watford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4
Phil,Jones,DEF,MUN,5600000,1,71,4.7,8.392857142857141e-07,1.26785714285714e-05,0,975692,1,8,0,0,0,0,0,12.7,34021,6,-1,71,-6,0.4,0,2.0,10,0,9,0,0,12.6,1542550,0,0,0,1,1253,88669,1,0,343,Southampton,Everton,Stoke,Burnley,Tottenham,6.3,3.3,6.5,4.9,4.3,6.8,4.5,6.6,5.3,6.1,5.1,5.9,4.2,6.9,4.2,6.7,5.0,6.6,31.3
,Joselu,FWD,NEW,5500000,2,50,2.8,5.09090909090909e-07,9.09090909090909e-06,0,126796,2,21,0,0,0,3,0,9.1,2971,0,0,50,0,0.5,0,2.7,3,0,4,0,1,0.7,144511,0,0,0,0,1275,10228,0,0,162,Brighton,Stoke,Swansea,Man City,Burnley,3.1,3.0,2.7,2.3,2.5,2.6,2.8,2.7,1.9,2.8,2.0,3.2,2.6,2.8,2.2,3.1,2.7,2.0,86.2
Christian,Kabasele,DEF,WAT,4600000,1,51,2.7,5.8695652173913e-07,1.1086956521739099e-05,0,58769,3,31,0,0,0,2,0,11.1,10128,1,0,51,-1,0.5,0,2.3,1,0,4,0,0,2.6,191084,0,0,0,1,1589,19422,0,0,290,Swansea,Man City,Southampton,Leicester,Stoke,2.2,2.2,2.5,2.1,2.6,2.7,2.9,2.0,2.9,1.9,2.2,2.2,2.6,2.2,3.7,2.3,2.3,1.9,60.3
Younes,Kaboul,DEF,WAT,4300000,0,7,0.35,8.13953488372093e-08,1.62790697674419e-06,0,22270,0,3,0,0,0,0,0,1.6,210,-2,0,7,2,0.0,0,0.0,0,0,1,0,0,0.1,3364,0,0,0,0,151,15,0,0,35,Swansea,Man City,Southampton,Leicester,Stoke,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,5.0
Elias,Kachunga,MID,HUD,5800000,0,44,2.6,4.48275862068966e-07,7.58620689655172e-06,0,25638,1,23,0,0,0,1,0,7.6,399,-2,0,44,2,0.4,0,2.2,0,0,6,0,1,0.1,13729,0,0,0,0,1253,26,0,0,146,Burnley,Leicester,West Ham,Stoke,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,3.0,2.5,1.8,1.3,2.1,1.3,3.1,1.3,2.7,53.8
Sullay,Kaikai,MID,CRY,4300000,0,1,0.05,1.16279069767442e-08,2.3255813953488398e-07,0,11107,0,0,0,0,0,0,0,0.2,128,-2,1,1,2,0.0,0,0.0,0,0,0,0,0,0.1,12871,0,0,0,0,13,58,-1,0,5,Man City,Southampton,Burnley,Arsenal,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
Harry,Kane,FWD,TOT,12900000,17,131,6.9,5.348837209302331e-07,1.01550387596899e-05,0,2829064,4,19,0,0,0,18,0,10.2,456837,4,0,131,-4,0.7,0,8.5,22,0,8,0,1,35.4,2946701,0,0,0,6,1659,151090,0,0,474,Swansea,West Ham,Everton,Southampton,Man Utd,0.0,18.7,10.3,8.6,10.0,7.4,10.0,8.2,10.4,8.4,9.8,6.6,8.4,9.0,7.9,9.4,8.1,9.8,243.6
N'Golo,Kante,MID,CHE,4900000,3,57,3.4,6.93877551020408e-07,1.16326530612245e-05,0,975311,1,9,0,0,0,1,0,11.6,22708,-1,0,57,1,0.6,0,2.8,6,0,10,0,1,12.1,640008,0,0,0,0,1490,16326,0,0,350,Stoke,Arsenal,Leicester,Brighton,Bournemouth,3.3,2.1,3.3,2.4,3.8,2.9,3.8,1.9,1.9,3.4,2.8,3.0,3.8,3.0,4.1,3.5,2.8,3.2,89.1
