FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW38Forecast,ICTIndex
Leighton,Baines,DEF,EVE,5700000,1,82,3.7,6.49122807017544e-07,1.43859649122807e-05,0,496323,1,34,0,0,0,2,0,14.4,0,-3,0,82,3,0,0,0,10,0,5,0,3,4.0,175183,0,0,0,3,1909,0,0,0,381,West Ham,,,,,4.0,88.2
Tiemoue,Bakayoko,MID,CHE,4900000,1,77,2.7,5.510204081632651e-07,1.57142857142857e-05,0,351226,3,24,0,0,0,2,0,15.7,0,-1,0,77,1,0,0,0,5,0,11,0,2,1.2,359695,0,0,0,1,2121,0,0,1,346,Newcastle,,,,,2.0,113.2
Sam,Baldock,FWD,BHA,4900000,0,2,0.0540540540540541,1.1031439602868202e-08,4.08163265306122e-07,0,3099,0,1,0,0,0,0,0,0.4,0,-1,0,2,1,0,0,0,0,0,0,0,0,0.0,2765,0,0,0,0,30,0,0,0,4,Liverpool,,,,,0.0,0.7
Beni,Baningime,MID,EVE,4500000,0,7,0.189189189189189,4.2042042042042e-08,1.55555555555556e-06,0,546,1,2,0,0,0,0,0,1.6,0,0,0,7,0,0,0,0,0,0,0,0,0,0.0,690,0,0,0,0,192,0,0,0,20,West Ham,,,,,0.1,1.3
Phil,Bardsley,DEF,BUR,4000000,0,33,0.8918918918918921,2.22972972972973e-07,8.25e-06,0,72287,5,13,0,0,0,0,0,8.3,0,-5,0,33,5,0,0,0,0,0,4,0,0,0.3,81355,0,0,0,0,1125,0,0,0,193,Bournemouth,,,,,0.4,38.3
Ross,Barkley,MID,CHE,7300000,2,3,0.0810810810810811,1.11069974083673e-08,4.10958904109589e-07,0,14693,0,4,0,0,0,0,0,0.4,0,-2,0,3,2,0,0,0,0,0,0,0,0,0.2,5701,0,0,0,0,129,0,0,0,11,Newcastle,,,,,0.0,10.1
Ashley,Barnes,FWD,BUR,5300000,0,92,2.6,4.90566037735849e-07,1.7358490566037698e-05,0,305066,10,23,0,0,0,9,0,17.4,0,-2,0,92,2,0,0,0,9,0,5,0,0,3.2,440245,0,0,0,0,2150,0,0,0,290,Bournemouth,,,,,2.7,145.8
Harvey,Barnes,MID,LEI,4500000,1,3,0.0810810810810811,1.8018018018018e-08,6.66666666666667e-07,0,41,0,0,0,0,0,0,0,0.7,0,0,0,3,0,0,0,0,0,0,0,0,0,0.0,113,0,0,0,0,8,0,0,0,8,Tottenham,,,,,0.0,0.6
Modou,Barrow,MID,SWA,5000000,0,0,0.0,0.0,0.0,0,275,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,61,0,0,0,0,0,0,0,0,0,Stoke,,,,,0.0,0.0
Gareth,Barry,MID,WBA,4400000,0,56,2.2,5e-07,1.27272727272727e-05,0,137398,4,35,0,0,0,1,0,12.7,0,-1,0,56,1,0,0,0,0,0,4,0,2,0.8,70718,0,0,0,0,1921,0,0,0,287,Crystal Palace,,,,,1.1,82.0
Kyle,Bartley,DEF,SWA,4300000,0,5,0.135135135135135,3.1426775612822096e-08,1.16279069767442e-06,0,5916,2,4,0,0,0,0,0,1.2,0,-2,0,5,2,0,0,0,0,0,0,0,0,0.1,1460,0,0,0,0,233,0,0,0,29,Stoke,,,,,0.1,11.2
Michy,Batshuayi,FWD,CHE,8100000,0,25,2.1,2.5925925925925896e-07,3.08641975308642e-06,0,181989,0,7,0,0,0,2,0,3.1,0,-4,0,25,4,0,0,0,3,0,1,0,1,0.5,121659,1,0,0,1,351,0,0,0,77,Newcastle,,,,,0.0,25.7
Moritz,Bauer,DEF,STK,4500000,1,41,1.1081081081081101,2.46246246246246e-07,9.11111111111111e-06,0,40910,4,18,0,0,0,0,0,9.1,0,0,0,41,0,0,0,0,1,0,5,0,0,0.4,64966,0,0,0,0,1307,0,0,0,201,Swansea,,,,,0.6,44.0
Jan,Bednarek,DEF,SOU,4100000,0,22,0.594594594594595,1.4502307185234e-07,5.365853658536589e-06,0,18549,1,5,0,0,0,1,0,5.4,0,-4,0,22,4,0,0,0,0,0,2,0,0,0.6,40972,0,0,0,1,427,0,0,0,88,Man City,,,,,0.3,13.1
Asmir,Begovic,GLK,BOU,4500000,3,112,2.9,6.44444444444444e-07,2.4888888888888896e-05,0,295513,2,61,0,111,0,0,0,24.9,0,0,0,112,0,0,0,0,6,0,6,0,0,4.1,225786,0,0,1,3,3420,0,0,0,631,Burnley,,,,,2.4,80.8
Valon,Behrami,MID,WAT,4500000,0,0,0.0,0.0,0.0,0,10059,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,655,0,0,0,0,0,0,0,0,0,Man Utd,,,,,0.0,0.0
Hector,Bellerin,DEF,ARS,5900000,6,132,3.8,6.44067796610169e-07,2.2372881355932198e-05,0,960552,5,44,0,0,0,2,0,22.4,0,-1,0,132,1,0,0,0,11,0,12,0,4,10.3,748052,0,0,0,2,3050,0,0,0,656,Huddersfield,,,,,2.9,160.1
Yohan,Benalouane,DEF,LEI,4200000,0,1,0.027027027027027,6.4350064350064405e-09,2.38095238095238e-07,0,3812,0,2,0,0,0,0,0,0.2,0,-3,0,1,3,0,0,0,0,0,0,0,0,0.1,1753,0,0,0,0,90,0,0,0,7,Tottenham,,,,,0.0,4.4
Christian,Benteke,FWD,CRY,7500000,1,84,2.7,3.6e-07,1.12e-05,0,528298,6,36,0,0,0,3,0,11.2,0,-5,0,84,5,0,1,0,5,0,6,0,7,2.5,199121,0,0,0,0,2234,0,0,0,174,West Brom,,,,,2.9,157.5
Saido,Berahino,FWD,STK,5500000,0,20,0.540540540540541,9.82800982800983e-08,3.63636363636364e-06,0,35986,0,13,0,0,0,0,0,3.6,0,-5,0,20,5,0,1,0,0,0,2,0,1,0.3,15590,0,0,0,0,483,0,0,0,42,Swansea,,,,,0.3,23.7
Steven,Berghuis,MID,WAT,5000000,0,0,0.0,0.0,0.0,0,242,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,46,0,0,0,0,0,0,0,0,0,Man Utd,,,,,0.0,0.0
,Bernardo Silva,MID,MCI,7200000,3,112,3.02702702702703,4.2042042042042e-07,1.55555555555556e-05,0,224703,0,10,0,0,0,6,0,15.6,0,-8,0,112,8,0,0,0,8,0,9,0,5,1.4,188040,0,0,0,2,1514,0,0,0,440,Southampton,,,,,2.6,144.4
Ryan,Bertrand,DEF,SOU,5300000,6,103,2.9,5.47169811320755e-07,1.9433962264150897e-05,0,812081,2,49,0,0,0,0,0,19.4,0,-2,0,103,2,0,0,0,4,0,8,0,5,5.2,327658,0,0,0,1,3135,0,0,0,553,Man City,,,,,2.4,139.3
