FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Jordan,Pickford,GLK,EVE,4900000,3,98,3.6,7.3469387755102e-07,2e-05,0,450367,0,46,0,86,0,0,0,20.0,12585,-1,0,98,1,0.3,0,1.7,12,0,6,0,0,7.8,348218,0,0,1,2,2430,4250,0,0,516,Watford,Burnley,Brighton,Stoke,Man City,3.8,3.5,5.0,3.4,3.7,4.4,2.9,3.9,2.9,4.5,3.5,66.6
Jeremy,Pied,DEF,SOU,4200000,0,7,0.25925925925925897,6.17283950617284e-08,1.66666666666667e-06,0,6168,0,3,0,0,0,0,0,1.7,77,-3,0,7,3,0.0,0,0.0,1,0,0,0,1,0.1,3264,0,0,0,0,180,61,0,0,47,Burnley,Stoke,Newcastle,West Ham,Arsenal,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,10.0
Erik,Pieters,DEF,STK,4700000,5,52,2.3,4.8936170212766e-07,1.1063829787234e-05,0,54499,2,40,0,0,0,0,0,11.1,1088,-3,0,52,3,0.8,0,3.7,0,0,5,0,1,0.4,23764,0,0,0,0,2020,1044,0,0,335,Leicester,Southampton,Man City,Everton,Arsenal,1.3,2.0,1.8,1.9,1.6,2.2,1.8,2.4,1.7,3.3,1.5,58.3
Paul,Pogba,MID,MUN,7900000,2,93,3.44444444444444,4.3600562587904397e-07,1.17721518987342e-05,0,2667679,2,13,0,0,0,3,0,11.6,140549,-1,1,93,1,0.2,0,1.7,9,0,8,0,11,12.2,2121141,0,0,0,3,1374,7717,-1,1,351,Chelsea,Crystal Palace,Liverpool,Swansea,Man City,3.4,2.3,3.0,0.0,4.0,1.7,4.4,2.7,4.3,2.2,3.5,144.9
Nick,Pope,GLK,BUR,4900000,3,116,4.8,9.79591836734694e-07,2.3673469387755103e-05,0,237413,2,20,0,78,0,0,0,23.7,12896,4,0,116,-4,1.3,0,6.3,16,0,9,0,0,10.2,755269,0,0,1,3,2124,44440,0,0,504,Southampton,Everton,West Ham,West Brom,Watford,6.3,5.6,5.8,0.0,4.9,6.2,5.8,5.6,7.0,5.2,5.5,59.1
Alex,Pritchard,MID,HUD,5400000,12,14,0.5185185185185179,9.602194787379971e-08,2.59259259259259e-06,0,1188,0,2,0,0,0,1,0,2.6,493,-1,0,14,1,0.7,0,4.0,2,0,0,0,1,0.1,6116,0,0,0,1,174,4815,0,0,41,West Brom,Tottenham,Swansea,Crystal Palace,Newcastle,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,13.9
Sebastian,Prodl,DEF,WAT,4300000,0,25,0.9259259259259259,2.15331610680448e-07,5.81395348837209e-06,0,30369,4,17,0,0,0,0,0,5.8,390,-2,0,25,2,0.5,0,2.3,0,0,3,0,0,0.2,14053,0,0,0,0,963,517,0,0,166,Everton,West Brom,Arsenal,Liverpool,Bournemouth,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9,0.5,0.5,0.5,25.6
Davy,Propper,MID,BHA,5300000,2,70,2.6,4.90566037735849e-07,1.32075471698113e-05,0,14085,2,36,0,0,0,0,0,13.2,214,-2,0,70,2,0.6,0,3.0,1,0,8,0,3,0.1,9862,0,0,0,0,2415,424,0,0,350,Swansea,Arsenal,Everton,Leicester,Huddersfield,2.5,2.8,2.0,0.0,2.5,3.0,1.5,2.1,1.7,2.1,1.3,83.4
Marc,Pugh,MID,BOU,4700000,0,26,0.962962962962963,2.0488573680063e-07,5.5319148936170195e-06,0,6596,2,15,0,0,0,0,0,5.5,69,-3,0,26,3,0.1,0,0.7,0,0,4,0,0,0.1,2866,0,0,0,0,794,23,0,0,80,Newcastle,Leicester,Tottenham,West Brom,Watford,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,44.0
Jason,Puncheon,MID,CRY,4400000,0,11,0.407407407407407,9.259259259259259e-08,2.5e-06,0,65761,5,14,0,0,0,0,0,2.4,277,-6,1,11,6,0.0,0,0.0,0,0,0,0,0,0.3,12851,0,0,0,0,574,9,-1,0,38,Tottenham,Man Utd,Chelsea,Huddersfield,Liverpool,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,25.1
