FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Philip,Billing,MID,HUD,4400000,1,17,0.515151515151515,1.17079889807163e-07,3.86363636363636e-06,0,38512,3,9,0,0,0,0,0,3.9,60,-1,0,17,1,0.1,0,0.3,0,0,3,0,0,0.2,32152,0,0,0,0,610,24,0,0,75,Watford,Everton,Man City,Chelsea,Arsenal,0.3,0.0,0.3,0.6,0.3,16.2
Daley,Blind,DEF,MUN,5100000,0,20,0.625,1.2254901960784303e-07,3.92156862745098e-06,0,189430,0,0,0,0,0,0,0,3.9,83,-4,0,20,4,0.0,0,0.0,0,0,3,0,0,0.9,135892,0,0,0,0,274,107,0,0,88,West Brom,Bournemouth,Arsenal,Brighton,West Ham,0.6,0.0,0.3,0.6,0.3,15.1
Jeremie,Boga,MID,CHE,6000000,0,1,1.0,1.66666666666667e-07,1.66666666666667e-07,0,997,0,0,0,0,0,0,0,0.2,1,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0.0,545,0,0,0,0,17,2,0,0,1,Southampton,Burnley,Swansea,Liverpool,Huddersfield,0.0,0.0,0.0,0.0,0.0,0.0
,Bojan,MID,STK,5500000,0,2,2.0,3.63636363636364e-07,3.63636363636364e-07,0,6605,0,1,0,0,0,0,0,0.4,2,0,0,2,0,0.0,0,0.0,0,0,0,0,0,0.0,1884,0,0,0,0,71,2,0,0,5,West Ham,Burnley,Liverpool,Crystal Palace,Swansea,0.0,0.0,0.0,0.0,0.0,1.9
Yannick,Bolasie,MID,EVE,6400000,3,30,0.9090909090909091,1.42045454545455e-07,4.6875e-06,0,14988,0,13,0,0,0,1,0,4.7,1095,-1,0,30,1,0.6,0,4.0,0,0,3,0,1,0.2,16186,0,0,0,0,663,987,0,0,70,Swansea,Newcastle,Huddersfield,Southampton,West Ham,0.5,0.5,0.5,0.5,0.5,27.9
Gaetan,Bong,DEF,BHA,4400000,2,45,2.4,5.454545454545451e-07,1.0227272727272698e-05,0,13433,2,25,0,0,0,0,0,10.2,278,-1,0,45,1,0.2,0,1.0,3,0,4,0,0,0.2,15158,1,0,0,1,1702,1030,0,0,284,Crystal Palace,Tottenham,Burnley,Man Utd,Man City,5.3,0.0,1.7,3.9,1.7,41.4
Wilfried,Bony,FWD,SWA,5600000,0,33,2.2,3.9285714285714297e-07,5.89285714285714e-06,0,88236,2,8,0,0,0,2,0,5.9,78,-4,0,33,4,0.0,0,0.0,3,0,2,0,1,0.1,87762,0,0,0,0,701,29,0,0,103,Everton,Man City,Chelsea,Bournemouth,Southampton,0.0,0.0,0.0,0.0,0.0,39.3
Artur,Boruc,GLK,BOU,4100000,0,0,0.0,0.0,0.0,0,157740,0,0,0,0,0,0,0,0.0,737,-4,0,0,4,0.0,0,0.0,0,0,0,0,0,1.4,10019,0,0,0,0,0,377,0,0,0,Liverpool,Man Utd,Southampton,Swansea,Burnley,0.0,0.0,0.0,0.0,0.0,0.0
Sofiane,Boufal,MID,SOU,5700000,0,55,1.71875,3.0153508771929805e-07,9.64912280701754e-06,0,23530,1,24,0,0,0,2,0,9.6,148,-3,0,55,3,0.1,0,0.5,2,0,1,0,2,0.2,17857,0,0,0,0,1206,133,0,0,215,Chelsea,Leicester,Bournemouth,Everton,Swansea,2.0,0.0,1.2,2.1,0.9,103.7
,Brad Smith,DEF,BOU,3900000,0,0,0.0,0.0,0.0,0,197726,0,0,0,0,0,0,0,0.0,2268,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,3.3,109081,0,0,0,0,0,4216,0,0,0,Liverpool,Man Utd,Southampton,Swansea,Burnley,0.0,0.0,0.0,0.0,0.0,0.0
