FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Andrew,Surman,MID,BOU,4700000,0,19,2.1,4.4680851063829794e-07,4.04255319148936e-06,0,8003,1,14,0,0,0,0,0,4.0,243,-3,0,19,3,0.0,0,0.0,0,0,2,0,0,0.1,1579,0,385,0,0,810,4,0,0,145,Burnley,Leicester,Southampton,Chelsea,Swansea,1.0,2.5,1.9,1.0,1.2,1.0,1.1,1.9,1.6,1.0,1.3,1.0,1.1,1.6,1.8,1.0,1.0,1.4,1.0,1.8,1.4,1.6,2.3,1.1
Franck,Tabanou,DEF,SWA,4400000,0,0,0.0,0.0,0.0,0,1489,0,0,0,0,0,0,0,0.0,10,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,83,0,0,0,0,0,5,0,0,0,Sunderland,West Brom,Middlesbrough,West Ham,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dusan,Tadic,MID,SOU,7000000,0,35,3.2,4.571428571428571e-07,5e-06,0,209973,2,10,0,0,0,1,0,5.0,2979,-5,0,35,5,0.0,0,0.0,0,0,4,0,2,1.5,62865,0,564,0,0,855,573,0,0,129,Middlesbrough,Stoke,Bournemouth,Tottenham,West Brom,3.3,2.3,1.9,2.9,3.0,1.9,2.1,4.3,2.5,3.0,2.9,2.0,2.5,3.4,1.6,3.6,2.9,2.2,2.4,1.6,3.2,1.6,2.7,3.0
Matt,Targett,DEF,SOU,4200000,0,6,0.14285714285714302,3.40136054421769e-08,1.4285714285714301e-06,0,33735,0,4,0,0,0,0,0,1.4,546,-3,0,6,3,0.0,0,0.0,0,0,0,0,0,0.3,13264,0,169,0,0,283,30,0,0,59,Middlesbrough,Stoke,Bournemouth,Tottenham,West Brom,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
James,Tarkowski,DEF,BUR,4000000,1,4,0.0952380952380952,2.38095238095238e-08,1e-06,0,42320,1,3,0,0,0,0,0,1.0,2504,0,0,4,0,0.2,0,0.7,0,0,0,0,0,2.2,57490,0,0,0,0,111,5608,0,0,23,Bournemouth,West Ham,Tottenham,Middlesbrough,Sunderland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neil,Taylor,DEF,SWA,4200000,0,7,0.166666666666667,3.96825396825397e-08,1.66666666666667e-06,0,37893,1,17,0,0,0,0,0,1.7,780,-3,0,7,3,0.4,0,1.7,0,0,0,0,1,0.3,7029,0,321,0,0,490,1146,0,0,71,Sunderland,West Brom,Middlesbrough,West Ham,Bournemouth,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Stuart,Taylor,GLK,SOU,4000000,0,0,0.0,0.0,0.0,0,676,0,0,0,0,0,0,0,0.0,136,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,2510,0,0,0,0,0,342,0,0,0,Middlesbrough,Stoke,Bournemouth,Tottenham,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dionatan do Nascimento,Teixeira,DEF,STK,4000000,0,0,0.0,0.0,0.0,0,28580,0,0,0,0,0,0,0,0.0,569,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.6,3208,0,12,0,0,0,20,0,0,0,Arsenal,Southampton,Leicester,Liverpool,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John,Terry,DEF,CHE,5300000,0,11,0.261904761904762,4.94159928122192e-08,2.07547169811321e-06,0,179102,1,4,0,0,0,0,0,2.1,2374,-2,0,11,2,0.0,0,0.0,0,0,1,0,0,1.8,56637,0,228,0,0,367,39,0,0,66,West Brom,Sunderland,Crystal Palace,Bournemouth,Stoke,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,Thomas Robson,DEF,SUN,4000000,0,0,0.0,0.0,0.0,0,2996,0,0,0,0,0,0,0,0.0,175,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.2,5416,0,0,0,0,0,130,0,0,0,Swansea,Chelsea,Watford,Man Utd,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
