FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,Ederson,GLK,MCI,5600000,6,131,4.5,8.035714285714291e-07,2.33928571428571e-05,0,336418,0,20,0,49,0,0,0,23.4,3349,1,0,131,-1,1.4,0,7.7,8,0,13,0,0,7.8,478316,0,0,2,2,2565,34912,0,0,550,Stoke,Everton,Man Utd,Tottenham,Swansea,5.4,0.0,3.8,5.7,4.7,5.4,5.4,6.0,5.5,47.6
,Eduardo,GLK,CHE,4700000,0,0,0.0,0.0,0.0,0,3424,0,0,0,0,0,0,0,0.0,28,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.1,1104,0,0,0,0,0,19,0,0,0,Crystal Palace,Tottenham,West Ham,Southampton,Huddersfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thomas,Edwards,DEF,STK,4000000,0,6,0.206896551724138,5.1724137931034496e-08,1.5e-06,0,24586,0,15,0,0,0,0,0,1.5,1321,0,0,6,0,0.0,0,0.0,0,0,0,0,0,0.4,47591,0,0,0,0,481,626,0,0,81,Man City,Everton,Arsenal,Tottenham,West Ham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,12.7
Robert,Elliot,GLK,NEW,4000000,0,57,3.6,9.000000000000001e-07,1.425e-05,0,832958,0,21,0,44,0,0,0,14.3,26548,0,1,57,0,0.0,0,0.0,4,0,3,0,0,17.7,888245,0,0,1,3,1440,4429,-1,0,280,Southampton,Huddersfield,Leicester,Arsenal,Everton,0.0,0.0,4.5,3.0,4.9,2.6,4.4,3.9,4.3,36.5
Mohamed,Elneny,MID,ARS,4200000,0,15,0.517241379310345,1.23152709359606e-07,3.5714285714285697e-06,0,310825,2,8,0,0,0,0,0,3.6,6152,-3,0,15,3,0.2,0,0.7,0,0,1,0,1,3.3,286918,0,0,0,0,476,3387,0,0,89,Watford,Stoke,Southampton,Newcastle,West Ham,0.3,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,23.5
,Emerson,DEF,CHE,5300000,1,1,0.0344827586206897,6.5061808718282395e-09,1.88679245283019e-07,0,1277,0,0,0,0,0,0,0,0.2,127,-2,1,1,2,0.1,0,0.3,0,0,0,0,0,0.0,1922,0,0,0,0,8,85,-1,0,2,Crystal Palace,Tottenham,West Ham,Southampton,Huddersfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian,Eriksen,MID,TOT,9400000,3,148,5.3,5.638297872340429e-07,1.57446808510638e-05,0,2026522,0,21,0,0,0,7,0,15.7,48288,-1,-1,148,1,0.4,0,4.0,18,0,15,0,8,15.4,2025874,0,0,0,2,2408,10065,1,0,596,Bournemouth,Chelsea,Stoke,Man City,Brighton,5.8,0.0,4.7,5.2,4.8,4.7,6.5,5.5,6.9,266.3
Jonny,Evans,DEF,WBA,4900000,2,65,2.7,5.510204081632651e-07,1.3265306122449e-05,0,114630,7,35,0,0,0,2,0,13.3,4484,-1,0,65,1,0.1,0,0.7,4,0,5,0,1,1.2,128452,1,0,0,1,2083,878,0,0,403,Leicester,Bournemouth,Burnley,Swansea,Man Utd,0.0,0.0,3.0,2.8,1.6,3.0,1.7,2.9,3.1,78.3
Patrice,Evra,DEF,WHU,4400000,0,0,0.0,0.0,0.0,0,5207,0,6,0,0,0,0,0,0.0,1112,-1,1,0,1,0.0,0,0.0,0,0,0,0,0,0.2,14743,0,0,0,0,135,1203,-1,0,17,Burnley,Southampton,Chelsea,Stoke,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6
Lukasz,Fabianski,GLK,SWA,4700000,2,114,3.9,8.29787234042553e-07,2.42553191489362e-05,0,365962,0,42,0,102,0,0,0,24.3,9060,2,0,114,-2,0.6,0,2.7,8,0,8,0,0,9.2,611884,0,0,1,2,2610,8371,0,0,577,Huddersfield,Man Utd,West Brom,Everton,Man City,3.5,0.0,3.2,3.5,4.3,3.3,4.9,3.4,5.2,78.5
