FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Alexis,Sanchez,MID,ARS,11800000,7,75,4.7,3.98305084745763e-07,6.3559322033898304e-06,0,278735,4,16,0,0,0,5,0,6.4,6303,-2,0,75,2,0.5,0,5.4,5,0,7,0,4,2.6,244322,0,0,0,1,1231,2016,0,0,227,Crystal Palace,West Brom,Chelsea,Bournemouth,Crystal Palace,3.6,3.9,5.5,4.4,6.0,4.8,7.0,3.1,4.1,3.3,5.3,3.8,5.9,5.9,4.2,6.5,2.5,5.9,3.8,179.9
Davinson,Sanchez,DEF,TOT,6000000,7,43,3.3,5.5e-07,7.16666666666667e-06,0,38439,0,9,0,0,0,0,0,7.2,458,0,0,43,0,0.2,0,1.0,1,0,6,0,0,0.4,47478,0,0,0,0,1042,2812,0,1,238,Southampton,Swansea,West Ham,Everton,Southampton,3.7,0.0,7.3,3.2,3.1,3.7,2.7,4.1,3.9,4.1,2.7,3.5,3.2,3.0,2.9,3.3,4.0,3.1,3.1,32.0
,Sandro,FWD,EVE,7100000,1,10,0.526315789473684,7.412898443291331e-08,1.40845070422535e-06,0,71628,0,7,0,0,0,0,0,1.4,280,-4,0,10,4,0.0,0,0.3,0,0,1,0,0,0.4,6585,0,0,0,0,275,412,0,0,21,West Brom,Bournemouth,Man Utd,Tottenham,West Brom,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,9.8
Leroy,Sane,MID,MCI,8600000,3,98,5.15789473684211,5.99755201958384e-07,1.13953488372093e-05,0,1345134,3,9,0,0,0,6,0,11.4,84287,1,0,98,-1,0.3,0,2.6,11,0,6,0,8,15.5,1853152,0,0,0,3,1179,11329,0,0,337,Newcastle,Crystal Palace,Watford,Liverpool,Newcastle,6.1,5.4,5.2,4.5,6.4,6.5,5.6,5.8,4.5,5.4,5.5,6.1,6.3,5.5,4.8,6.8,5.5,7.0,5.9,142.4
Sean,Scannell,MID,HUD,4500000,0,0,0.0,0.0,0.0,0,2870,0,0,0,0,0,0,0,0.0,15,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,147,0,0,0,0,0,0,0,0,0,Stoke,Burnley,Leicester,West Ham,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ezequiel,Schelotto,DEF,BHA,4400000,0,4,0.21052631578947398,4.78468899521531e-08,9.09090909090909e-07,0,656,0,6,0,0,0,0,0,0.9,22,-1,0,4,1,0.0,0,0.2,0,0,0,0,0,0.0,740,0,0,0,0,178,16,0,0,33,Chelsea,Newcastle,Bournemouth,West Brom,Chelsea,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8.1
Christopher,Schindler,DEF,HUD,4600000,2,54,3.0,6.52173913043478e-07,1.17391304347826e-05,0,241393,3,27,0,0,0,0,0,11.7,3362,1,0,54,-1,0.7,0,3.1,9,0,5,0,2,3.4,346125,0,0,0,3,1586,15987,0,1,353,Stoke,Burnley,Leicester,West Ham,Stoke,3.6,3.5,1.9,4.2,2.3,3.3,1.6,3.2,2.4,2.1,3.1,4.5,2.1,2.6,3.7,2.5,2.9,1.9,3.7,62.4
Jeffrey,Schlupp,DEF,CRY,4700000,2,36,2.1,4.4680851063829794e-07,7.65957446808511e-06,0,19965,3,22,0,0,0,0,0,7.7,2576,-3,0,36,3,0.8,0,3.7,0,0,3,0,0,0.4,23806,0,0,0,0,1407,1804,0,0,211,Arsenal,Man City,Southampton,Burnley,Arsenal,2.1,1.4,1.5,2.0,1.1,1.7,1.8,1.0,1.9,1.9,1.6,1.3,1.8,1.3,2.4,2.0,1.5,1.5,2.2,54.7
Kasper,Schmeichel,GLK,LEI,5000000,2,70,3.7,7.4e-07,1.4000000000000001e-05,0,135891,2,28,0,62,0,0,0,14.0,4402,0,0,70,0,0.7,0,3.3,9,0,4,0,0,4.1,143394,0,0,1,1,1710,1691,0,0,360,Watford,Liverpool,Huddersfield,Chelsea,Watford,4.7,3.4,4.7,4.1,4.5,2.6,3.7,3.3,4.4,3.9,3.9,4.6,4.2,4.0,3.9,4.2,4.6,5.2,3.6,47.5
Morgan,Schneiderlin,MID,EVE,4700000,3,23,1.6,3.4042553191489397e-07,4.8936170212766e-06,0,51527,2,18,0,0,0,0,0,4.9,402,-3,0,23,3,0.3,0,1.6,0,0,3,0,0,0.5,17248,0,0,0,0,1043,496,0,1,170,West Brom,Bournemouth,Man Utd,Tottenham,West Brom,0.8,0.9,1.0,0.8,1.3,1.1,0.8,1.1,0.8,0.8,1.2,0.8,0.8,0.9,1.0,1.2,0.8,1.1,0.8,27.3
Kyle,Scott,MID,CHE,4300000,0,0,0.0,0.0,0.0,0,5123,0,0,0,0,0,0,0,0.0,201,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.1,5228,0,0,0,0,0,239,0,0,0,Brighton,Stoke,Arsenal,Leicester,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xherdan,Shaqiri,MID,STK,6200000,2,78,4.3,6.93548387096774e-07,1.2580645161290302e-05,0,510037,3,37,0,0,0,4,0,12.6,50958,2,0,78,-2,0.5,0,3.2,9,0,2,0,5,8.9,742675,0,0,0,1,1494,13021,0,0,299,Huddersfield,Chelsea,Newcastle,Man Utd,Huddersfield,4.0,3.7,5.2,2.7,5.8,4.2,4.6,5.0,4.1,4.3,3.1,5.9,3.1,4.4,3.9,4.8,3.1,4.9,5.0,134.6
Luke,Shaw,DEF,MUN,4900000,0,7,0.368421052631579,7.5187969924812e-08,1.4285714285714301e-06,0,7345,0,0,0,0,0,0,0,1.4,1040,-1,0,7,1,0.2,0,1.2,1,0,1,0,0,0.2,8644,0,0,0,0,82,934,0,0,29,Burnley,Southampton,Everton,Stoke,Burnley,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,2.0
Ryan,Shawcross,DEF,STK,4800000,2,34,2.4,5e-07,7.08333333333333e-06,0,68886,1,24,0,0,0,1,0,7.1,1944,-2,0,34,2,0.4,0,1.8,0,0,2,0,1,1.0,31978,1,0,0,0,1260,1219,0,0,192,Huddersfield,Chelsea,Newcastle,Man Utd,Huddersfield,1.6,2.0,2.1,1.3,2.6,2.5,1.7,2.9,1.5,2.0,1.7,1.9,1.4,2.3,2.2,2.4,1.7,3.5,1.7,59.0
Jonjo,Shelvey,MID,NEW,5200000,0,18,0.9473684210526321,1.8218623481781398e-07,3.4615384615384596e-06,0,81801,2,15,0,0,0,0,0,3.5,404,-3,0,18,3,0.0,0,0.2,1,0,1,0,1,0.3,14450,0,0,0,0,835,49,0,2,100,Man City,Brighton,Stoke,Swansea,Man City,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,48.1
,Sheyi Ojo,MID,LIV,5000000,0,0,0.0,0.0,0.0,0,1483,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,60,0,0,0,0,0,1,0,0,0,Swansea,Leicester,Burnley,Man City,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steve,Sidwell,MID,BHA,4300000,0,0,0.0,0.0,0.0,0,21088,0,0,0,0,0,0,0,0.0,286,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.2,2549,0,0,0,0,0,40,0,0,0,Chelsea,Newcastle,Bournemouth,West Brom,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gylfi,Sigurdsson,MID,EVE,8000000,3,63,3.5,4.375e-07,7.875e-06,0,340011,2,28,0,0,0,3,0,7.9,4546,-5,0,63,5,0.7,0,5.3,6,0,4,0,2,2.4,134411,0,0,0,1,1473,3494,0,0,266,West Brom,Bournemouth,Man Utd,Tottenham,West Brom,2.8,3.2,3.5,2.2,4.2,3.6,2.0,3.8,2.8,2.7,3.9,2.6,2.4,3.1,3.4,4.1,2.7,3.7,2.6,104.0
