FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,David Silva,MID,MCI,8400000,6,67,5.6,6.66666666666667e-07,7.97619047619048e-06,0,837478,1,7,0,0,0,1,0,8.0,72825,4,0,67,-4,0.5,0,4.3,8,0,7,0,8,21.0,1590695,0,0,0,2,1052,28977,0,0,265,Huddersfield,Southampton,West Ham,Man Utd,Swansea,6.1,6.3,7.7,4.5,7.8,6.1,7.3,6.6,6.4,5.2,4.7,7.6,7.2,6.4,6.9,5.1,5.6,6.2,6.0,7.2,6.7,5.8,7.1,6.6,7.8,7.0,121.2
Ben,Davies,DEF,TOT,5700000,1,53,4.41666666666667,7.748538011695909e-07,9.29824561403509e-06,0,858503,1,7,0,0,0,2,0,9.3,48865,2,1,53,-2,0.2,0,1.3,6,0,3,0,3,18.6,1406396,0,0,0,3,710,40674,-1,0,204,West Brom,Leicester,Watford,Stoke,Brighton,6.3,3.9,5.9,5.5,5.9,3.9,4.8,5.3,6.3,4.7,4.8,5.3,5.5,4.0,6.6,5.2,6.6,4.4,5.7,5.1,4.8,4.1,5.2,5.4,5.2,4.8,68.3
Tom,Davies,MID,EVE,5200000,0,19,1.6,3.07692307692308e-07,3.65384615384615e-06,0,55499,4,12,0,0,0,0,0,3.7,3846,-3,0,19,3,0.2,0,1.0,0,0,1,0,2,0.5,29453,0,0,0,0,572,39,0,0,70,Southampton,West Ham,Huddersfield,Liverpool,Newcastle,0.0,1.4,1.4,0.8,0.8,1.3,0.8,0.8,0.9,1.1,0.8,1.2,1.2,0.8,1.4,0.8,0.8,0.9,0.8,0.8,1.1,1.2,1.4,0.8,1.0,0.8,18.6
Steven,Davis,MID,SOU,5100000,2,46,3.8,7.45098039215686e-07,9.01960784313725e-06,0,210975,0,11,0,0,0,2,0,9.0,21295,1,0,46,-1,0.9,0,4.7,6,0,4,0,1,4.6,413317,0,0,0,2,954,13279,0,0,225,Everton,Man City,Bournemouth,Arsenal,Leicester,4.9,2.6,4.2,4.9,3.9,4.0,4.5,3.3,2.4,4.4,3.9,3.3,3.2,3.7,3.8,3.7,3.5,3.8,4.9,3.9,2.8,2.9,3.8,4.2,4.6,2.2,58.8
Craig,Dawson,DEF,WBA,4900000,0,27,3.0,6.12244897959184e-07,5.51020408163265e-06,0,276995,1,10,0,0,0,0,0,5.5,8814,-1,0,27,1,0.0,0,0.0,1,0,3,0,0,1.5,81117,0,0,0,0,810,11,0,0,144,Tottenham,Newcastle,Crystal Palace,Swansea,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.8,4.1,2.6,3.6,1.8,1.9,3.1,2.7,4.2,3.3,2.8,2.3,3.3,2.7,1.5,3.8,2.2,3.4,3.4,25.3
Kevin,De Bruyne,MID,MCI,10100000,8,72,6.0,5.94059405940594e-07,7.1287128712871304e-06,0,1107666,0,7,0,0,0,3,0,7.1,19312,1,0,72,-1,0.7,0,6.7,8,0,7,0,6,21.4,782014,0,0,0,1,1017,52150,0,0,308,Huddersfield,Southampton,West Ham,Man Utd,Swansea,6.7,7.0,8.4,5.0,8.4,6.8,8.0,7.2,7.1,5.8,5.2,8.4,7.9,7.0,7.6,5.7,6.2,6.9,6.7,7.7,7.3,6.5,7.6,7.3,8.6,7.7,122.7
David,de Gea,GLK,MUN,5800000,3,68,5.7,9.827586206896548e-07,1.17241379310345e-05,0,387556,0,6,0,37,0,0,0,11.7,16994,3,0,68,-3,0.9,0,5.3,5,0,8,0,0,41.9,705019,0,0,0,0,1080,30142,0,0,270,Brighton,Watford,Arsenal,Man City,Bournemouth,8.6,6.8,4.0,6.7,8.0,5.7,4.6,8.3,8.1,4.1,8.3,5.6,5.7,8.6,5.0,7.4,5.5,8.6,5.5,7.3,4.5,8.6,5.2,8.6,6.0,8.0,25.5
Siem,de Jong,MID,NEW,4900000,0,0,0.0,0.0,0.0,0,9327,0,0,0,0,0,0,0,0.0,47,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.1,511,0,0,0,0,0,1,0,0,0,Watford,West Brom,Chelsea,Leicester,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mathieu,Debuchy,DEF,ARS,4500000,0,0,0.0,0.0,0.0,0,82,0,0,0,0,0,0,0,0.0,58,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,248,0,0,0,0,0,112,0,0,0,Burnley,Huddersfield,Man Utd,Southampton,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Troy,Deeney,FWD,WAT,6300000,0,18,2.3,3.6507936507936504e-07,2.8571428571428602e-06,0,49383,1,7,0,0,0,1,0,2.9,1645,-2,0,18,2,0.0,0,0.3,1,0,0,0,1,0.4,25231,0,0,0,0,319,94,0,0,64,Newcastle,Man Utd,Tottenham,Burnley,Crystal Palace,0.0,1.8,1.3,1.7,2.5,2.0,2.1,1.8,1.4,1.8,1.5,2.0,2.5,1.2,2.0,2.4,2.1,1.2,1.5,1.8,1.4,1.7,2.7,1.6,1.9,1.3,26.6
Jermain,Defoe,FWD,BOU,7600000,0,20,2.0,2.6315789473684203e-07,2.63157894736842e-06,0,181255,0,7,0,0,0,1,0,2.6,4497,-4,0,20,4,0.1,0,0.7,1,0,2,0,0,1.6,36251,0,0,0,0,505,534,0,0,65,Swansea,Burnley,Southampton,Crystal Palace,Man Utd,0.0,1.4,1.4,1.8,1.0,1.9,1.2,2.0,2.2,1.4,2.0,1.3,1.1,2.1,1.1,1.9,1.4,1.3,2.0,1.6,2.5,1.0,1.7,1.4,1.4,1.1,28.9
Steven,Defour,MID,BUR,5500000,3,31,2.6,4.72727272727273e-07,5.6363636363636395e-06,0,19358,2,8,0,0,0,0,0,5.6,536,0,0,31,0,0.5,0,3.0,0,0,6,0,1,0.3,16080,0,0,0,0,1019,152,0,0,170,Arsenal,Bournemouth,Leicester,Watford,Stoke,3.1,2.2,1.9,1.6,2.1,1.6,2.0,1.3,1.7,2.3,1.9,2.2,1.9,1.3,2.7,2.1,3.1,2.0,1.8,1.8,2.0,2.4,1.8,1.9,1.3,2.6,37.4
Damien,Delaney,DEF,CRY,4200000,0,0,0.0,0.0,0.0,0,18572,0,4,0,0,0,0,0,0.0,388,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.3,2540,0,0,0,0,90,225,0,0,19,Stoke,Brighton,West Brom,Bournemouth,Watford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Fabian,Delph,MID,MCI,4500000,3,24,2.0,4.44444444444444e-07,5.333333333333329e-06,0,46674,0,5,0,0,0,1,0,5.3,3863,0,0,24,0,0.5,0,2.3,0,0,3,0,1,1.0,78651,0,0,0,0,560,5986,0,0,147,Huddersfield,Southampton,West Ham,Man Utd,Swansea,1.2,1.3,1.8,1.0,1.9,1.2,1.6,1.3,1.3,1.0,1.0,1.7,1.6,1.3,1.5,1.0,1.0,1.2,1.2,1.8,1.4,1.1,1.6,1.4,1.8,1.5,24.9
