FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Ross,Barkley,MID,EVE,7000000,9,73,3.8,5.428571428571429e-07,1.04285714285714e-05,0,649810,3,18,0,0,0,3,0,10.4,4029,-5,0,73,5,0.9,0,6.0,7,0,4,0,5,6.1,502719,0,654,0,0,1475,13559,0,0,253,Crystal Palace,Stoke,Bournemouth,Middlesbrough,Sunderland,3.0,2.9,4.5,3.3,5.6,2.0,4.0,4.6,1.9,3.1,5.1,5.4,2.4,3.4,3.3,4.9,2.1
Ashley,Barnes,FWD,BUR,4500000,2,34,0.53968253968254,1.1992945326278699e-07,7.55555555555556e-06,0,68135,2,9,0,0,0,3,0,7.6,8954,0,0,34,0,1.0,0,4.3,3,0,2,0,1,2.4,152367,0,0,0,1,619,11522,0,0,113,Arsenal,Leicester,Watford,Chelsea,Hull City,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Antonio,Barragan,DEF,MID,4500000,0,52,2.7,6e-07,1.15555555555556e-05,0,75726,5,20,0,0,0,0,0,11.3,9315,0,1,52,0,0.1,0,0.5,5,0,5,0,0,1.2,99805,0,0,0,0,1631,119,-1,0,327,West Ham,West Brom,Tottenham,Everton,Crystal Palace,3.7,3.0,2.0,2.8,2.7,2.6,2.6,2.0,2.4,2.4,3.2,3.3,2.4,2.8,2.1,3.5,2.7
Modou,Barrow,FWD,SWA,5000000,0,34,1.9,3.8e-07,6.8e-06,0,107545,1,23,0,0,0,0,0,6.8,4891,0,0,34,0,0.1,0,0.3,0,0,4,0,2,1.0,111473,0,120,0,0,1145,124,0,0,136,Liverpool,Southampton,Man City,Leicester,Chelsea,0.0,1.8,1.5,1.9,1.0,2.0,1.9,1.2,1.4,1.5,1.3,1.3,1.4,1.3,1.5,1.4,1.6
Gareth,Barry,MID,EVE,4500000,3,50,2.6,5.77777777777778e-07,1.11111111111111e-05,0,330756,6,21,0,0,0,2,0,11.1,7704,0,0,50,0,0.5,0,2.3,3,0,5,0,1,4.1,363153,0,418,0,0,1449,3921,0,0,246,Crystal Palace,Stoke,Bournemouth,Middlesbrough,Sunderland,1.6,1.5,2.6,1.8,3.4,1.3,2.3,2.7,1.3,1.7,3.0,3.3,1.3,1.9,1.8,2.9,1.3
Joey,Barton,MID,BUR,4500000,6,6,0.0952380952380952,2.11640211640212e-08,1.33333333333333e-06,0,1721,0,0,0,0,0,1,0,1.3,1647,0,0,6,0,1.3,0,6.0,0,0,0,0,0,0.3,12042,0,0,0,0,18,11738,0,0,26,Arsenal,Leicester,Watford,Chelsea,Hull City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Borja,Baston,FWD,SWA,6700000,1,26,0.412698412698413,6.159677801468849e-08,3.88059701492537e-06,0,9596,0,10,0,0,0,1,0,3.9,67,-3,0,26,3,0.1,0,0.5,1,0,1,0,2,0.0,6390,0,0,0,0,496,24,0,0,66,Liverpool,Southampton,Man City,Leicester,Chelsea,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Michy,Batshuayi,FWD,CHE,8500000,1,21,1.6,1.8823529411764697e-07,2.4705882352941202e-06,0,127382,0,0,0,0,0,1,0,2.5,1857,-5,0,21,5,0.1,0,0.8,1,0,0,0,1,1.0,60361,0,0,0,0,101,272,0,0,59,Hull City,Liverpool,Arsenal,Burnley,Swansea,1.7,0.9,1.1,0.8,1.5,0.9,1.3,0.9,1.4,1.3,0.8,0.9,1.5,0.8,1.1,0.9,1.5
Asmir,Begovic,GLK,CHE,4700000,0,0,0.0,0.0,0.0,0,5858,0,0,0,0,0,0,0,0.0,83,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.2,1400,0,150,0,0,0,34,0,0,0,Hull City,Liverpool,Arsenal,Burnley,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valon,Behrami,MID,WAT,4500000,3,32,1.8,4e-07,7.11111111111111e-06,0,15767,6,23,0,0,0,0,0,7.1,220,0,0,32,0,0.3,0,1.3,0,0,4,0,0,0.2,12203,0,127,0,0,1427,136,0,0,170,Bournemouth,Arsenal,Burnley,Man Utd,West Ham,0.9,0.9,1.9,0.9,1.2,1.4,0.9,0.9,2.0,1.2,0.9,1.3,1.0,0.9,1.0,0.9,1.1
Hector,Bellerin,DEF,ARS,6500000,0,70,4.1,6.30769230769231e-07,1.0769230769230802e-05,0,933357,1,19,0,0,0,0,0,10.8,32492,0,0,70,0,0.6,0,3.8,10,0,6,0,3,15.0,356829,0,541,0,1,1506,1995,0,0,324,Burnley,Watford,Chelsea,Hull City,Southampton,0.0,5.1,4.1,5.3,5.0,5.0,4.4,4.6,5.0,5.9,5.0,4.4,4.8,3.9,3.8,4.9,5.0
