FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Joel,Asoro,MID,SUN,4400000,0,1,0.0114942528735632,2.6123301985371e-09,2.2727272727272702e-07,0,626,0,0,0,0,0,0,0,0.2,9,-1,0,1,1,0.0,0,0.0,0,0,0,0,0,0.0,534,0,0,0,0,10,7,0,0,3,Watford,Leicester,Man Utd,West Ham,Middlesbrough,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie,Austin,FWD,SOU,6300000,0,59,4.5,7.142857142857141e-07,9.36507936507936e-06,0,898396,1,7,0,0,0,6,0,9.2,854,-2,1,59,2,0.0,0,0.0,10,0,6,0,1,1.8,869653,0,32,0,1,866,107,-1,0,211,Bournemouth,Crystal Palace,West Brom,Man City,Chelsea,0.0,0.0,0.0,0.0,3.5,6.8,4.9,4.4,5.9
Daniel,Ayala,DEF,MID,4800000,0,23,0.264367816091954,5.50766283524904e-08,4.79166666666667e-06,0,11149,2,6,0,0,0,1,0,4.8,61,-2,0,23,2,0.1,0,0.5,0,0,2,0,0,0.1,6034,0,0,0,0,487,13,0,0,106,Swansea,Hull City,Burnley,Arsenal,Bournemouth,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1
Andre,Ayew,MID,WHU,7100000,7,49,0.563218390804598,7.932653391614049e-08,6.90140845070423e-06,0,276787,0,13,0,0,0,4,0,6.9,389,-4,0,49,4,0.8,0,5.7,2,0,2,0,1,1.1,15327,0,524,0,0,677,3772,0,0,141,Hull City,Arsenal,Swansea,Sunderland,Everton,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Jordan,Ayew,FWD,SWA,5000000,1,5,0.0574712643678161,1.14942528735632e-08,1e-06,0,2734,0,4,0,0,0,0,0,1.0,527,0,0,5,0,0.2,0,1.0,0,0,0,0,0,0.1,5927,0,0,0,0,153,750,0,0,7,Middlesbrough,Tottenham,West Ham,Watford,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cesar,Azpilicueta,DEF,CHE,6400000,2,122,4.4,6.875e-07,1.90625e-05,0,525018,3,21,0,0,0,0,0,19.1,11601,4,0,122,-4,0.3,0,2.0,16,0,13,0,2,17.7,704734,0,470,0,1,2520,12653,0,0,642,Crystal Palace,Man City,Bournemouth,Man Utd,Southampton,6.1,5.3,5.0,4.0,6.3,3.7,5.7,5.0,5.4
,Baba Rahman,DEF,CHE,5500000,0,0,0.0,0.0,0.0,0,1390,0,0,0,0,0,0,0,0.0,11,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,328,0,138,0,0,0,7,0,0,0,Crystal Palace,Man City,Bournemouth,Man Utd,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric,Bailly,DEF,MUN,5300000,2,50,0.574712643678161,1.0843634786380401e-07,9.43396226415094e-06,0,523122,3,12,0,0,0,0,0,9.4,1277,-2,0,50,2,0.2,0,1.0,9,0,5,0,0,6.1,228194,0,0,0,0,1188,6414,0,0,318,West Brom,Everton,Sunderland,Chelsea,Burnley,0.3,0.3,0.3,0.3,0.6,0.3,0.3,0.3,0.3
Leighton,Baines,DEF,EVE,5700000,6,107,4.7,8.24561403508772e-07,1.87719298245614e-05,0,597412,2,20,0,0,0,2,0,18.8,16324,2,0,107,-2,0.5,1,2.7,13,0,9,0,3,12.2,749378,0,212,0,1,2009,49593,0,0,486,Liverpool,Man Utd,Leicester,Burnley,West Ham,5.2,4.2,6.0,6.6,5.5,6.4,4.8,6.2,5.4
Mario,Balotelli,FWD,LIV,6300000,0,0,0.0,0.0,0.0,0,11889,0,0,0,0,0,0,0,0.0,31,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.2,1976,0,0,0,0,0,28,0,0,0,Everton,Bournemouth,Stoke,West Brom,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
