FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Julian,Speroni,GLK,CRY,4300000,0,0,0.0,0.0,0.0,0,5630,0,0,0,0,0,0,0,0.0,88,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.2,868,0,13,0,0,0,10,0,0,0,Chelsea,Watford,Arsenal,Swansea,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Raphael,Spiegel,GLK,WHU,4000000,0,0,0.0,0.0,0.0,0,991,0,0,0,0,0,0,0,0.0,139,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.2,5047,0,0,0,0,0,294,0,0,0,Hull City,Swansea,Leicester,Man Utd,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Junior,Stanislas,MID,BOU,5200000,0,52,1.08333333333333,2.0833333333333302e-07,1e-05,0,85245,1,13,0,0,0,3,0,9.8,5750,-3,1,52,3,0.3,0,1.8,6,0,3,0,4,0.5,95844,0,217,0,1,711,249,-1,0,184,Southampton,Chelsea,Swansea,Arsenal,Hull City,0.0,0.0,0.0,0.0,0.0,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.9,0.5
Maarten,Stekelenburg,GLK,EVE,5000000,2,51,3.4,6.8e-07,1.0199999999999999e-05,0,123945,2,20,0,34,0,0,0,10.2,8233,0,0,51,0,0.5,0,2.4,3,0,2,0,0,3.8,197351,1,151,2,1,1350,706,0,0,233,Liverpool,Leicester,Hull City,Southampton,Man City,5.0,1.7,3.1,4.9,3.9,3.1,3.8,4.9,3.0,4.0,2.5,4.3,4.5,3.4,2.1,3.9,4.8,3.7,3.8,2.6,4.2,4.0
Jack,Stephens,DEF,SOU,4000000,0,0,0.0,0.0,0.0,0,7680,0,0,0,0,0,0,0,0.0,216,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.4,6816,0,0,0,0,0,54,0,0,0,Bournemouth,Tottenham,West Brom,Everton,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Raheem,Sterling,MID,MCI,7700000,6,62,4.4,5.714285714285711e-07,8.051948051948049e-06,0,1080063,3,12,0,0,0,4,0,8.1,16226,-3,0,62,3,0.3,0,2.0,5,0,3,0,4,7.8,1227257,0,400,0,2,1120,4036,0,0,205,Arsenal,Hull City,Liverpool,Burnley,Everton,3.2,4.3,2.6,6.0,3.8,4.6,3.7,4.8,3.7,5.0,5.4,4.5,3.4,3.2,3.3,4.8,3.8,4.7,5.0,4.3,6.3,4.6
Kevin,Stewart,DEF,LIV,4300000,0,4,0.0833333333333333,1.93798449612403e-08,9.30232558139535e-07,0,4567,0,0,0,0,0,0,0,0.9,81,-2,0,4,2,0.0,0,0.0,0,0,0,0,0,0.1,2289,0,69,0,0,20,18,0,0,12,Everton,Stoke,Man City,Sunderland,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John,Stones,DEF,MCI,4800000,0,24,1.8,3.75e-07,5e-06,0,871793,1,16,0,0,0,0,0,5.0,73466,-2,1,24,2,0.0,0,0.2,1,0,1,0,0,20.0,382557,0,336,0,0,1074,1126,-1,0,213,Arsenal,Hull City,Liverpool,Burnley,Everton,2.2,1.4,1.6,1.8,1.0,1.7,1.8,1.3,1.2,1.1,1.0,1.8,1.9,2.2,1.0,1.6,1.4,1.5,1.3,1.4,1.3,1.2
Maksymilian,Stryjek,GLK,SUN,4000000,0,0,0.0,0.0,0.0,0,1209,0,0,0,0,0,0,0,0.0,37,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,2835,0,0,0,0,0,50,0,0,0,Watford,Man Utd,Burnley,Liverpool,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cristhian,Stuani,FWD,MID,4800000,0,31,2.8,5.83333333333333e-07,6.45833333333333e-06,0,339313,3,9,0,0,0,3,0,6.5,15700,-2,0,31,2,0.1,0,0.6,4,0,1,0,0,3.5,423024,0,0,0,1,612,2849,0,0,132,Swansea,Burnley,Man Utd,Leicester,Watford,0.0,2.4,2.4,3.6,2.5,3.2,2.7,2.1,3.1,3.1,2.5,3.3,2.5,3.0,3.4,3.5,2.4,2.0,2.8,2.0,2.8,2.6
