FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Wayne,Hennessey,GLK,CRY,4300000,8,47,3.9,9.06976744186047e-07,1.0930232558139501e-05,0,83050,0,19,0,42,0,0,0,10.9,2967,-2,0,47,2,0.8,0,3.4,7,0,3,0,0,1.2,64295,0,0,0,0,1080,12873,0,0,238,Arsenal,West Ham,Newcastle,Everton,Tottenham,3.2,4.4,4.3,2.8,4.6,4.6,4.2,3.5,4.6,3.3,5.7,4.6,4.2,4.0,5.2,29.9
Dion,Henry,GLK,CRY,4000000,0,0,0.0,0.0,0.0,0,2294,0,0,0,0,0,0,0,0.0,186,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,5644,0,0,0,0,0,294,0,0,0,Arsenal,West Ham,Newcastle,Everton,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ander,Herrera,MID,MUN,5000000,0,27,1.17391304347826,2.34782608695652e-07,5.400000000000001e-06,0,192535,4,11,0,0,0,0,0,5.4,1076,-5,0,27,5,0.2,0,0.8,0,0,3,0,1,1.2,26441,0,0,0,0,850,251,0,0,139,Burnley,Tottenham,Huddersfield,Newcastle,Chelsea,0.6,0.6,0.9,0.6,0.6,0.6,0.6,0.6,0.8,0.6,0.8,0.6,0.7,0.6,0.6,43.5
Wesley,Hoedt,DEF,SOU,5000000,1,30,2.3,4.6e-07,6e-06,0,6002,3,20,0,0,0,0,0,6.0,170,0,0,30,0,0.4,0,2.2,2,0,2,0,1,0.1,7712,0,0,0,0,1170,150,0,0,244,Tottenham,Brighton,West Brom,Liverpool,Burnley,1.9,2.7,1.8,2.0,1.9,2.2,1.8,1.7,2.2,1.5,2.3,1.5,1.8,1.3,1.7,46.2
Jonathan,Hogg,MID,HUD,4400000,2,26,1.1304347826087,2.56916996047431e-07,5.90909090909091e-06,0,31642,2,22,0,0,0,0,0,5.9,719,-1,0,26,1,0.3,0,1.4,0,0,4,0,0,0.3,40718,0,0,0,0,1110,273,0,1,209,Stoke,Liverpool,Man Utd,Bournemouth,West Brom,0.6,0.6,0.6,0.7,0.6,0.6,0.8,0.6,0.6,0.6,0.6,0.6,0.9,0.6,0.7,29.3
Pierre-Emile,H?jbjerg,MID,SOU,4300000,1,16,0.695652173913043,1.6177957532861499e-07,3.72093023255814e-06,0,28636,3,12,0,0,0,0,0,3.7,851,-2,0,16,2,0.3,0,1.4,0,0,1,0,0,0.3,28309,0,0,0,0,682,580,0,0,119,Tottenham,Brighton,West Brom,Liverpool,Burnley,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,25.2
Rob,Holding,DEF,ARS,4500000,1,12,0.5217391304347829,1.1594202898550698e-07,2.66666666666667e-06,0,101255,2,12,0,0,0,0,0,2.7,1426,-5,0,12,5,0.2,0,0.8,0,0,1,0,1,0.7,24017,0,0,0,0,443,2797,0,0,101,Crystal Palace,Swansea,Everton,Tottenham,Man City,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,15.4
Jose,Holebas,DEF,WAT,4800000,0,35,2.3,4.79166666666667e-07,7.29166666666667e-06,0,60342,3,28,0,0,0,0,0,7.1,1409,-2,1,35,2,0.1,0,0.4,3,0,2,0,3,0.4,49431,0,0,0,0,1211,113,-1,0,214,Leicester,Stoke,Chelsea,West Ham,Everton,1.6,2.0,2.2,2.2,1.6,2.3,1.6,1.7,1.7,2.1,1.8,3.2,1.7,1.7,1.6,69.7
Mason,Holgate,DEF,EVE,4300000,0,33,1.4347826086956499,3.33670374115268e-07,7.674418604651159e-06,0,135584,3,13,0,0,0,0,0,7.7,7476,-2,0,33,2,0.3,0,1.2,0,0,4,0,0,2.0,172637,0,0,0,0,1080,13073,0,0,193,West Brom,Leicester,Arsenal,Crystal Palace,Watford,1.3,0.9,0.7,2.0,1.0,0.8,1.5,0.8,0.8,1.0,0.7,0.9,0.7,1.1,0.9,45.9
Mark,Hudson,DEF,HUD,4000000,0,0,0.0,0.0,0.0,0,18030,0,0,0,0,0,0,0,0.0,166,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,1168,0,0,0,0,0,21,0,0,0,Stoke,Liverpool,Man Utd,Bournemouth,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
