FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Leighton,Baines,DEF,EVE,5700000,0,36,2.8,4.91228070175439e-07,6.31578947368421e-06,0,399659,1,25,0,0,0,2,0,6.3,7868,-3,0,36,3,0.0,0,0.2,2,0,1,0,1,3.5,64886,0,0,0,1,1099,103,0,0,189,Chelsea,West Brom,Bournemouth,Man Utd,Tottenham,0.0,2.3,2.0,2.9,2.1,3.5,2.5,1.6,4.2,3.0,2.2,3.7,2.2,2.4,2.9,2.0,2.9,1.9,3.0,2.5,51.0
Tiemoue,Bakayoko,MID,CHE,5000000,3,52,3.3,6.6e-07,1.04e-05,0,226850,2,10,0,0,0,2,0,10.4,9689,0,0,52,0,0.5,0,2.7,5,0,5,0,2,2.6,312853,0,0,0,1,1165,10409,0,0,232,Everton,Brighton,Stoke,Arsenal,Leicester,3.2,3.2,3.2,2.1,3.1,2.5,3.5,3.0,3.6,1.9,1.9,3.3,2.6,3.0,3.7,2.9,4.0,3.5,2.6,3.1,70.1
Sam,Baldock,FWD,BHA,4900000,0,0,0.0,0.0,0.0,0,1705,0,0,0,0,0,0,0,0.0,67,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,1154,0,0,0,0,0,93,0,0,0,Watford,Chelsea,Newcastle,Bournemouth,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beni,Baningime,MID,EVE,4500000,0,3,0.166666666666667,3.7037037037037e-08,6.66666666666667e-07,0,221,0,1,0,0,0,0,0,0.7,28,0,0,3,0,0.0,0,0.2,0,0,0,0,0,0.0,316,0,0,0,0,104,20,0,0,10,Chelsea,West Brom,Bournemouth,Man Utd,Tottenham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0
Phil,Bardsley,DEF,BUR,4300000,6,20,1.11111111111111,2.58397932816537e-07,4.65116279069767e-06,0,7529,2,2,0,0,0,0,0,4.7,1185,-2,0,20,2,0.8,0,3.3,0,0,3,0,0,0.3,15561,0,0,0,0,450,8013,0,0,103,Tottenham,Man Utd,Huddersfield,Liverpool,Crystal Palace,0.8,0.6,0.6,0.6,1.1,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.7,0.6,0.7,0.6,0.6,0.9,0.6,0.6,18.1
Ross,Barkley,MID,EVE,7400000,0,0,0.0,0.0,0.0,0,9625,0,0,0,0,0,0,0,0.0,97,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.1,879,0,0,0,0,0,41,0,0,0,Chelsea,West Brom,Bournemouth,Man Utd,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashley,Barnes,FWD,BUR,5200000,0,28,1.6,3.07692307692308e-07,5.3846153846153804e-06,0,48472,3,4,0,0,0,2,0,5.4,3620,-3,0,28,3,0.3,0,1.8,2,0,2,0,0,0.5,31007,0,0,0,0,591,1819,0,0,90,Tottenham,Man Utd,Huddersfield,Liverpool,Crystal Palace,1.1,0.8,0.8,1.0,1.0,1.2,1.0,1.0,0.9,1.2,1.4,0.8,0.8,0.9,1.1,1.2,1.2,1.3,0.8,1.3,40.1
Modou,Barrow,MID,SWA,5000000,0,0,0.0,0.0,0.0,0,252,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,46,0,0,0,0,0,0,0,0,0,Crystal Palace,Liverpool,Watford,Tottenham,Newcastle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gareth,Barry,MID,WBA,4500000,6,38,2.5,5.55555555555556e-07,8.444444444444439e-06,0,108243,2,19,0,0,0,1,0,8.4,1882,0,0,38,0,0.4,0,1.7,0,0,2,0,2,1.0,59345,0,0,0,0,1170,1747,0,0,182,Stoke,Everton,Arsenal,West Ham,Brighton,1.6,2.9,2.5,1.6,2.2,1.9,1.2,2.2,1.4,2.8,1.8,2.1,2.0,2.2,2.7,1.2,1.8,1.9,2.1,1.5,57.5
Kyle,Bartley,DEF,SWA,4300000,0,3,0.166666666666667,3.87596899224806e-08,6.976744186046509e-07,0,5202,0,1,0,0,0,0,0,0.7,34,-2,0,3,2,0.0,0,0.0,0,0,0,0,0,0.0,728,0,0,0,0,75,8,0,0,18,Crystal Palace,Liverpool,Watford,Tottenham,Newcastle,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.9
Michy,Batshuayi,FWD,CHE,8100000,0,17,2.1,2.5925925925925896e-07,2.09876543209877e-06,0,162512,0,7,0,0,0,2,0,2.1,2400,-4,0,17,4,0.0,0,0.2,3,0,0,0,0,0.6,107106,1,0,0,1,215,1662,0,0,56,Everton,Brighton,Stoke,Arsenal,Leicester,1.5,1.9,2.3,1.0,1.8,1.5,1.9,1.8,2.0,1.1,1.5,2.0,1.2,1.7,1.9,1.6,2.1,1.5,1.5,1.7,16.6
Jan,Bednarek,DEF,SOU,4200000,0,0,0.0,0.0,0.0,0,8367,0,0,0,0,0,0,0,0.0,139,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.1,1479,0,0,0,0,0,45,0,0,0,Huddersfield,Tottenham,Man Utd,Crystal Palace,Watford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asmir,Begovic,GLK,BOU,4500000,1,64,3.6,8e-07,1.4222222222222198e-05,0,165339,2,24,0,56,0,0,0,14.2,9091,0,0,64,0,0.7,0,3.3,4,0,4,0,0,4.6,125146,0,0,1,3,1620,1698,0,0,324,Man City,West Ham,Everton,Brighton,Arsenal,3.2,5.1,3.3,4.1,4.5,4.1,3.9,4.1,3.3,3.9,3.1,4.4,4.6,4.7,5.1,3.4,3.9,3.8,3.6,3.6,41.4
Valon,Behrami,MID,WAT,4500000,0,0,0.0,0.0,0.0,0,9618,0,0,0,0,0,0,0,0.0,76,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,622,0,0,0,0,0,2,0,0,0,Brighton,Leicester,Swansea,Man City,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hector,Bellerin,DEF,ARS,5900000,7,70,3.9,6.61016949152542e-07,1.1864406779661e-05,0,492021,3,20,0,0,0,0,0,11.9,16912,-1,0,70,1,0.7,0,4.3,5,0,9,0,1,9.7,269769,0,0,0,1,1620,21731,0,0,334,Liverpool,Crystal Palace,West Brom,Chelsea,Bournemouth,5.0,3.9,3.4,5.2,2.9,5.8,2.9,4.4,3.1,4.2,3.7,5.3,2.6,5.2,5.1,2.8,5.8,2.2,5.3,2.8,82.0
Yohan,Benalouane,DEF,LEI,4300000,0,0,0.0,0.0,0.0,0,2918,0,0,0,0,0,0,0,0.0,75,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.1,929,0,0,0,0,0,54,0,0,0,Man Utd,Watford,Liverpool,Huddersfield,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian,Benteke,FWD,CRY,7600000,11,27,2.1,2.7631578947368396e-07,3.55263157894737e-06,0,395041,5,15,0,0,0,1,0,3.6,4898,-4,0,27,4,0.4,1,2.8,3,0,3,0,1,1.9,47547,0,0,0,0,1028,2200,0,0,23,Swansea,Arsenal,Man City,Southampton,Burnley,0.0,1.9,1.6,1.5,1.7,1.0,1.2,2.1,1.4,1.8,1.8,1.0,1.2,1.6,1.6,2.0,1.7,1.9,1.9,2.1,62.3
Saido,Berahino,FWD,STK,5600000,1,12,0.666666666666667,1.19047619047619e-07,2.1428571428571398e-06,0,31942,0,3,0,0,0,0,0,2.1,336,-4,0,12,4,0.0,1,0.2,0,0,2,0,1,0.3,12552,0,0,0,0,274,167,0,0,24,West Brom,Huddersfield,Chelsea,Newcastle,Man Utd,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,12.8
Steven,Berghuis,MID,WAT,5000000,0,0,0.0,0.0,0.0,0,221,0,0,0,0,0,0,0,0.0,3,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,29,0,0,0,0,0,0,0,0,0,Brighton,Leicester,Swansea,Man City,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
