FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
,David Luiz,DEF,CHE,6300000,2,106,3.9,6.19047619047619e-07,1.68253968253968e-05,0,160709,6,21,0,0,0,1,0,16.8,9034,3,0,106,-3,0.4,0,2.8,6,0,12,0,1,5.2,309697,0,0,0,1,2430,3603,0,0,538,Man Utd,Southampton,Everton,Middlesbrough,West Brom,3.5,5.4,3.1,4.8,9.1,4.6
Ben,Davies,DEF,TOT,4900000,6,48,0.5,1.0204081632653099e-07,9.79591836734694e-06,0,27257,1,9,0,0,0,0,0,9.8,4881,-1,-1,48,1,0.8,0,4.0,1,0,5,0,1,3.3,156857,0,192,0,0,1109,26753,1,0,247,Bournemouth,Crystal Palace,Arsenal,West Ham,Man Utd,0.2,0.2,0.3,0.2,0.4,0.2
Curtis,Davies,DEF,HUL,4900000,0,39,1.6,3.26530612244898e-07,7.95918367346939e-06,0,110093,3,48,0,0,0,0,0,8.0,224,-1,0,39,1,0.2,0,0.8,3,0,1,0,2,1.3,99865,1,0,0,1,2049,83,0,0,355,Stoke,Watford,Southampton,Sunderland,Crystal Palace,0.9,1.3,1.0,1.3,1.1,1.5
Tom,Davies,MID,EVE,4400000,7,52,0.5416666666666671,1.2310606060606102e-07,1.18181818181818e-05,0,75253,4,11,0,0,0,2,0,11.8,3128,-1,0,52,1,0.9,0,3.8,0,0,7,0,3,3.0,203483,0,0,0,0,1114,21698,0,0,192,Burnley,West Ham,Chelsea,Swansea,Watford,0.3,0.3,0.3,0.3,0.3,0.3
Steven,Davis,MID,SOU,5100000,0,60,2.5,4.90196078431373e-07,1.1764705882352901e-05,0,40738,2,27,0,0,0,0,0,11.8,391,-4,0,60,4,0.5,0,2.5,0,0,7,0,3,0.4,6460,0,535,0,0,1996,20,0,0,351,Man City,Chelsea,Hull City,Liverpool,Arsenal,0.0,1.2,2.9,2.9,3.7,2.3
Craig,Dawson,DEF,WBA,4800000,2,88,2.8,5.83333333333333e-07,1.8333333333333302e-05,0,86516,9,40,0,0,0,3,0,18.3,3992,-2,0,88,2,1.4,0,6.5,6,0,6,0,0,2.3,76159,0,433,0,1,2736,6551,0,0,441,Liverpool,Leicester,Burnley,Chelsea,Man City,3.9,0.0,2.8,1.7,5.3,2.3
Michael,Dawson,DEF,HUL,4200000,1,45,2.6,6.19047619047619e-07,1.0714285714285699e-05,0,51771,3,30,0,0,0,3,0,10.7,513,-3,0,45,3,0.1,0,0.5,4,0,1,0,0,0.5,66325,1,0,0,2,1450,2394,0,0,267,Stoke,Watford,Southampton,Sunderland,Crystal Palace,2.1,2.8,2.2,2.7,2.4,3.1
Kevin,De Bruyne,MID,MCI,10400000,0,141,4.9,4.7115384615384597e-07,1.3557692307692301e-05,0,1225659,4,30,0,0,0,4,0,13.6,14135,-1,0,141,1,0.4,1,3.8,24,0,7,0,14,6.7,1168379,0,546,0,3,2256,1856,0,0,581,Southampton,Man Utd,Middlesbrough,Crystal Palace,Leicester,4.5,5.1,5.4,5.2,12.5,5.7
David,de Gea,GLK,MUN,5400000,0,107,3.7,6.85185185185185e-07,1.9814814814814803e-05,0,913569,2,24,0,59,0,0,0,19.8,41751,-1,0,107,1,0.5,0,2.8,2,0,11,0,0,33.2,466506,0,368,0,1,2610,3356,0,0,463,Chelsea,Burnley,Man City,Swansea,Arsenal,4.1,7.2,4.2,4.6,8.1,4.5
Ritchie,de Laet,DEF,LEI,4400000,0,0,0.0,0.0,0.0,0,5986,0,0,0,0,0,0,0,0.0,10,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.1,295,0,129,0,0,0,4,0,0,0,Crystal Palace,Arsenal,West Brom,Watford,Man City,0.0,0.0,0.0,0.0,0.0,0.0
