FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Roque,Mesa,MID,SWA,4300000,0,18,1.6,3.7209302325581396e-07,4.18604651162791e-06,0,48932,3,16,0,0,0,0,0,4.2,1571,-2,0,18,2,0.3,0,1.2,0,0,2,0,0,0.5,41484,0,0,0,0,753,289,0,0,125,Newcastle,Liverpool,Arsenal,Leicester,Burnley,1.0,0.8,1.1,0.8,0.9,0.8,1.1,0.9,1.0,0.8,0.9,1.3,0.8,0.9,1.0,1.0,20.9
Simon,Mignolet,GLK,LIV,4900000,3,67,3.5,7.142857142857141e-07,1.3673469387755099e-05,0,85144,3,24,0,36,0,0,0,13.7,4862,-1,0,67,1,0.7,0,3.4,0,0,7,0,0,1.5,59743,0,0,1,0,1710,1758,0,0,329,Man City,Swansea,Huddersfield,Tottenham,Southampton,3.4,3.1,2.9,3.9,3.5,4.8,3.7,2.7,4.4,4.2,2.4,3.7,3.3,4.2,3.5,4.9,28.0
Luka,Milivojevic,MID,CRY,4600000,10,61,3.0,6.52173913043478e-07,1.32608695652174e-05,0,92169,5,30,0,0,0,4,0,13.3,13308,-4,0,61,4,0.9,1,4.0,8,0,3,0,0,1.7,121400,0,0,0,0,1639,75263,0,0,276,Burnley,Arsenal,West Ham,Newcastle,Everton,2.8,1.8,2.2,3.0,2.7,2.4,2.4,1.9,2.3,2.3,2.6,3.0,2.3,2.8,2.3,3.2,86.7
James,Milner,DEF,LIV,6100000,1,39,1.77272727272727,2.90611028315946e-07,6.39344262295082e-06,0,269419,1,16,0,0,0,0,0,6.4,2763,-4,0,39,4,0.2,0,1.4,3,0,2,0,2,2.2,39325,0,0,0,1,924,1282,0,0,228,Man City,Swansea,Huddersfield,Tottenham,Southampton,1.1,1.0,1.0,1.4,1.2,1.9,1.3,0.9,1.6,2.2,0.9,1.3,1.1,1.6,1.2,1.9,75.2
Tyrone,Mings,DEF,BOU,4300000,0,0,0.0,0.0,0.0,0,16887,1,4,0,0,0,0,0,0.0,258,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.2,2381,0,0,0,0,135,45,0,0,17,Arsenal,West Ham,Chelsea,Stoke,Huddersfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5
Kevin,Mirallas,MID,EVE,6000000,0,5,1.0,1.66666666666667e-07,8.33333333333333e-07,0,113698,1,8,0,0,0,0,0,0.8,1519,-5,0,5,5,0.0,0,0.0,0,0,0,0,0,0.8,8916,0,0,0,0,135,106,0,0,19,Tottenham,West Brom,Leicester,Arsenal,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9
Aleksandar,Mitrovic,FWD,NEW,4700000,0,10,0.45454545454545503,9.671179883945839e-08,2.12765957446809e-06,0,148879,0,0,0,0,0,1,0,2.1,2215,-3,0,10,3,0.0,0,0.0,0,0,0,0,0,0.7,48122,0,0,0,0,89,389,0,0,37,Swansea,Man City,Burnley,Crystal Palace,Man Utd,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,16.6
Henrikh,Mkhitaryan,MID,MUN,7600000,0,57,2.59090909090909,3.40909090909091e-07,7.499999999999999e-06,0,1802314,2,4,0,0,0,1,0,7.5,10304,-4,0,57,4,0.1,0,0.8,4,0,9,0,5,6.0,1581855,0,0,0,1,920,394,0,0,227,Stoke,Burnley,Tottenham,Huddersfield,Newcastle,2.4,1.7,1.3,3.0,2.0,2.1,1.6,1.9,1.6,2.8,1.3,2.7,1.9,2.5,1.4,2.0,84.4
Jayson,Molumby,MID,BHA,4500000,0,0,0.0,0.0,0.0,0,566,0,0,0,0,0,0,0,0.0,30,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,706,0,0,0,0,0,23,0,0,0,West Brom,Chelsea,Southampton,West Ham,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nacho,Monreal,DEF,ARS,5600000,0,85,4.5,8.035714285714291e-07,1.5178571428571398e-05,0,1002114,3,21,0,0,0,2,0,15.2,85039,1,1,85,-1,0.2,0,1.2,10,0,9,0,0,4.9,944444,0,0,0,1,1665,1953,-1,0,449,Bournemouth,Crystal Palace,Swansea,Everton,Tottenham,0.0,6.7,4.0,5.3,4.0,5.2,4.7,6.4,3.4,6.3,6.1,4.2,6.8,3.5,6.2,3.8,73.4
