FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Patrick,Bamford,FWD,MID,4900000,1,10,0.10752688172043,2.1944261575598002e-08,2.04081632653061e-06,0,5803,0,2,0,0,0,0,0,2.0,63,-1,0,10,1,0.1,0,0.3,0,0,0,0,0,0.1,6898,0,0,0,0,104,51,0,0,28,Burnley,Arsenal,Bournemouth,Sunderland,Man City,0.1,0.1,0.2,0.1,0.1,0.1,0.1
Alex,Baptiste,DEF,MID,4000000,0,0,0.0,0.0,0.0,0,3682,0,0,0,0,0,0,0,0.0,7,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,2602,0,0,0,0,0,5,0,0,0,Burnley,Arsenal,Bournemouth,Sunderland,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phil,Bardsley,DEF,STK,4300000,0,27,0.29032258064516103,6.7516879219805e-08,6.2790697674418605e-06,0,11357,4,17,0,0,0,0,0,6.3,76,-2,0,27,2,-0.2,0,-0.7,0,0,3,0,0,0.1,9052,0,107,0,0,1168,49,0,1,174,Liverpool,Hull City,Swansea,West Ham,Bournemouth,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ross,Barkley,MID,EVE,7100000,3,117,4.0,5.63380281690141e-07,1.64788732394366e-05,0,771760,4,28,0,0,0,4,0,16.5,12986,-4,0,117,4,0.6,0,4.0,9,0,10,0,9,7.6,689302,0,654,0,2,2352,5616,0,0,435,Leicester,Burnley,West Ham,Chelsea,Swansea,5.6,5.7,2.4,3.8,3.2,5.7,2.2
Ashley,Barnes,FWD,BUR,4500000,1,61,0.6559139784946241,1.45758661887694e-07,1.35555555555556e-05,0,166706,4,19,0,0,0,5,0,13.6,8862,0,0,61,0,0.7,0,3.0,7,0,4,0,2,3.9,311738,0,0,0,1,1314,14526,0,1,174,Middlesbrough,Everton,Man Utd,Crystal Palace,West Brom,0.3,0.3,0.3,0.3,0.3,0.3,0.4
Antonio,Barragan,DEF,MID,4400000,0,64,2.8,6.36363636363636e-07,1.45454545454545e-05,0,98891,5,28,0,0,0,0,0,14.5,549,-1,0,64,1,0.5,0,2.3,8,0,6,0,0,0.8,109395,0,0,0,0,1991,3618,0,0,414,Burnley,Arsenal,Bournemouth,Sunderland,Man City,3.2,3.5,5.5,2.7,2.4,3.5,2.9
Modou,Barrow,FWD,SWA,5000000,0,34,1.9,3.8e-07,6.8e-06,0,121843,1,23,0,0,0,0,0,6.8,231,0,0,34,0,0.0,0,0.0,0,0,4,0,2,0.6,111746,0,120,0,0,1145,10,0,0,136,West Ham,Watford,Stoke,Man Utd,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gareth,Barry,MID,EVE,4400000,1,62,2.3,5.22727272727273e-07,1.40909090909091e-05,0,374854,9,26,0,0,0,2,0,14.1,1966,-1,0,62,1,0.3,0,1.5,3,0,7,0,1,3.5,382416,0,418,0,0,1911,1101,0,0,336,Leicester,Burnley,West Ham,Chelsea,Swansea,2.6,2.7,1.2,1.6,1.3,2.7,1.2
Joey,Barton,MID,BUR,4400000,2,30,0.32258064516129,7.33137829912023e-08,6.81818181818182e-06,0,11022,4,11,0,0,0,1,0,6.8,638,-1,0,30,1,0.4,0,1.8,0,0,3,0,2,0.3,21659,0,0,0,0,835,159,0,0,155,Middlesbrough,Everton,Man Utd,Crystal Palace,West Brom,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Borja,Baston,FWD,SWA,6700000,0,29,0.31182795698924703,4.65414861177981e-08,4.32835820895522e-06,0,10103,0,11,0,0,0,1,0,4.3,22,-3,0,29,3,0.0,0,0.3,1,0,1,0,2,0.0,6803,0,0,0,0,518,14,0,0,74,West Ham,Watford,Stoke,Man Utd,Everton,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Michy,Batshuayi,FWD,CHE,8500000,0,25,1.5,1.7647058823529398e-07,2.94117647058824e-06,0,129924,0,0,0,0,0,1,0,2.9,77,-5,0,25,5,0.0,0,0.3,1,0,0,0,1,0.9,60937,0,0,0,0,127,28,0,0,68,Bournemouth,Man Utd,Southampton,Everton,Middlesbrough,0.8,0.8,1.2,0.8,1.1,0.8,1.4
Asmir,Begovic,GLK,CHE,4700000,0,0,0.0,0.0,0.0,0,6530,0,0,0,0,0,0,0,0.0,54,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.2,1754,0,150,0,0,0,8,0,0,0,Bournemouth,Man Utd,Southampton,Everton,Middlesbrough,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valon,Behrami,MID,WAT,4500000,0,42,1.8,4e-07,9.33333333333333e-06,0,17289,6,29,0,0,0,0,0,9.3,105,0,0,42,0,0.1,0,0.3,0,0,5,0,0,0.2,12865,0,127,0,0,1778,7,0,0,220,Tottenham,Swansea,Hull City,Liverpool,Leicester,0.9,1.4,1.0,1.0,0.9,0.9,1.0
Hector,Bellerin,DEF,ARS,6500000,5,86,3.6,5.538461538461541e-07,1.3230769230769199e-05,0,1002341,2,29,0,0,0,0,0,13.2,1795,0,0,86,0,0.4,0,2.3,10,0,8,0,3,13.9,378760,0,541,0,1,1974,3321,0,0,422,Crystal Palace,Middlesbrough,Leicester,Tottenham,Man Utd,4.2,3.4,4.1,3.1,3.4,3.7,4.2
Yohan,Benalouane,DEF,LEI,4000000,6,13,0.139784946236559,3.49462365591398e-08,3.25e-06,0,8675,0,2,0,0,0,0,0,3.3,234,0,0,13,0,1.1,0,4.3,0,0,2,0,0,0.3,8679,0,15,0,0,270,4379,0,0,55,Everton,Crystal Palace,Arsenal,West Brom,Watford,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Nabil,Bentaleb,MID,TOT,4500000,0,0,0.0,0.0,0.0,0,4335,0,0,0,0,0,0,0,0.0,3,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,528,0,29,0,0,0,3,0,0,0,Watford,Bournemouth,Crystal Palace,Arsenal,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saido,Berahino,FWD,STK,6000000,2,18,0.193548387096774,3.2258064516129e-08,3e-06,0,60883,1,6,0,0,0,0,0,3.0,675,-5,0,18,5,0.3,0,2.0,0,0,3,0,0,0.5,32106,0,226,0,0,620,539,0,0,35,Liverpool,Hull City,Swansea,West Ham,Bournemouth,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Steven,Berghuis,MID,WAT,5000000,0,0,0.0,0.0,0.0,0,92,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,44,0,55,0,0,0,1,0,0,0,Tottenham,Swansea,Hull City,Liverpool,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Bernardo,DEF,MID,4300000,0,29,0.31182795698924703,7.25181295323831e-08,6.74418604651163e-06,0,3569,2,13,0,0,0,0,0,6.7,265,-2,0,29,2,0.5,0,2.3,3,0,3,0,0,0.1,8346,0,0,0,0,893,444,0,0,174,Burnley,Arsenal,Bournemouth,Sunderland,Man City,0.2,0.2,0.4,0.2,0.2,0.2,0.2
Ryan,Bertrand,DEF,SOU,5500000,0,93,4.7,8.54545454545455e-07,1.69090909090909e-05,0,105910,2,25,0,0,0,1,0,16.9,17313,0,0,93,0,0.6,0,3.3,8,0,9,0,5,2.9,183560,0,415,0,2,1787,2271,0,0,415,West Brom,Man City,Chelsea,Hull City,Liverpool,0.0,5.9,5.0,6.8,5.4,4.9,7.0
Muhamed,Besic,MID,EVE,4300000,0,0,0.0,0.0,0.0,0,1411,0,0,0,0,0,0,0,0.0,30,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.0,781,0,75,0,0,0,30,0,0,0,Leicester,Burnley,West Ham,Chelsea,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daley,Blind,DEF,MUN,5200000,1,80,4.4,8.46153846153846e-07,1.53846153846154e-05,0,456864,2,14,0,0,0,1,0,15.4,2694,-3,0,80,3,0.1,0,0.3,12,0,7,0,2,4.3,464533,0,477,0,1,1440,1852,0,0,425,Sunderland,Chelsea,Burnley,Man City,Swansea,4.5,5.3,9.2,5.3,5.7,4.6,5.7
Hiram,Boateng,MID,CRY,4500000,0,0,0.0,0.0,0.0,0,689,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,557,0,0,0,0,0,4,0,0,0,Arsenal,Leicester,Liverpool,Tottenham,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Bojan,MID,STK,5500000,0,30,3.3,6e-07,5.45454545454545e-06,0,109564,1,12,0,0,0,3,0,5.5,87,-5,0,30,5,0.0,1,0.0,4,0,0,0,0,0.7,46589,0,360,0,0,475,7,0,0,93,Liverpool,Hull City,Swansea,West Ham,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0
