FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Chris,Brunt,MID,WBA,5000000,3,67,3.0,6e-07,1.34e-05,0,139720,3,19,0,0,0,0,0,13.4,269,-5,0,67,5,0.4,0,2.0,6,0,7,0,6,0.5,127926,0,0,0,0,1557,301,0,0,321,Liverpool,Newcastle,Tottenham,Crystal Palace,,2.4,2.2,2.4,2.0,101.9
Harry,Bunn,MID,HUD,4500000,0,0,0.0,0.0,0.0,0,628,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,103,0,0,0,0,0,1,0,0,0,Everton,Man City,Chelsea,Arsenal,,0.0,0.0,0.0,0.0,0.0
Oliver,Burke,MID,WBA,4900000,0,22,0.647058823529412,1.32052821128451e-07,4.48979591836735e-06,0,4124,0,11,0,0,0,0,0,4.5,40,-6,0,22,6,0.1,0,0.3,0,0,0,0,2,0.0,4417,0,0,0,0,342,10,0,0,71,Liverpool,Newcastle,Tottenham,Crystal Palace,,0.3,0.3,0.3,0.3,22.0
Reece,Burke,DEF,WHU,4000000,0,0,0.0,0.0,0.0,0,1922,0,0,0,0,0,0,0,0.0,32,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,2915,0,0,0,0,0,3,0,0,0,Arsenal,Man City,Leicester,Man Utd,Everton,0.0,0.0,0.0,0.0,0.0
Matt,Butcher,MID,BOU,4500000,0,0,0.0,0.0,0.0,0,178,0,0,0,0,0,0,0,0.0,4,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,212,0,0,0,0,0,6,0,0,0,Southampton,Swansea,Burnley,,,0.0,0.0,0.0,0.0,0.0
Jack,Butland,GLK,STK,5000000,3,105,3.4,6.8e-07,2.1e-05,0,177110,0,57,0,128,0,0,0,21.0,1195,0,0,105,0,0.5,0,2.3,12,0,5,0,0,3.0,158597,1,0,0,2,2790,7255,0,0,599,Burnley,Liverpool,Crystal Palace,Swansea,,3.6,3.1,4.8,3.0,88.3
Sam,Byram,DEF,WHU,4200000,0,5,1.0,2.38095238095238e-07,1.19047619047619e-06,0,10662,1,7,0,0,0,0,0,1.2,54,-3,0,5,3,0.0,0,0.0,0,0,0,0,0,0.1,3380,0,0,0,0,246,7,0,0,41,Arsenal,Man City,Leicester,Man Utd,Everton,0.0,0.0,0.0,0.0,14.5
Willy,Caballero,GLK,CHE,4800000,0,9,0.264705882352941,5.51470588235294e-08,1.875e-06,0,12909,0,3,0,6,0,0,0,1.9,286,-2,0,9,2,0.1,0,0.5,0,0,1,0,0,0.1,10664,0,0,0,0,180,29,0,0,43,Swansea,Liverpool,Huddersfield,Newcastle,,0.0,0.1,0.2,0.1,4.5
Yohan,Cabaye,MID,CRY,5300000,2,63,1.8529411764705903,3.496115427303e-07,1.18867924528302e-05,0,34774,6,35,0,0,0,0,0,11.9,106,-2,0,63,2,0.5,0,2.7,3,0,5,0,4,0.2,19516,0,0,0,0,2042,261,0,0,365,Watford,Leicester,Stoke,West Brom,,1.0,1.3,1.1,1.6,139.8
Gary,Cahill,DEF,CHE,6200000,2,61,1.79411764705882,2.89373814041746e-07,9.83870967741936e-06,0,608529,1,24,0,0,0,0,0,9.8,1063,-3,0,61,3,0.2,0,1.0,2,0,7,0,0,3.0,86172,0,0,0,0,1812,231,0,1,381,Swansea,Liverpool,Huddersfield,Newcastle,,0.0,1.0,3.3,0.9,58.6
Dominic,Calvert-Lewin,FWD,EVE,5000000,0,87,2.8,5.6e-07,1.74e-05,0,1145112,4,28,0,0,0,4,0,17.4,12031,0,0,87,0,0.4,0,2.0,3,0,6,0,8,4.5,1294819,0,0,0,1,1840,4907,0,0,255,Newcastle,Huddersfield,Southampton,West Ham,,3.1,2.0,3.1,2.0,129.5
Rafael,Camacho,MID,LIV,4500000,0,0,0.0,0.0,0.0,0,21,0,0,0,0,0,0,0,0.0,11,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,46,0,0,0,0,0,14,0,0,0,West Brom,Stoke,Chelsea,Brighton,,0.0,0.0,0.0,0.0,0.0
Geoff,Cameron,DEF,STK,4300000,1,33,1.6,3.7209302325581396e-07,7.674418604651159e-06,0,42996,2,30,0,0,0,0,0,7.7,147,-2,0,33,2,0.1,0,0.3,0,0,2,0,0,0.3,31588,0,0,0,0,1522,92,0,0,220,Burnley,Liverpool,Crystal Palace,Swansea,,1.1,0.9,1.9,0.9,39.0
Tyrese,Campbell,FWD,STK,4500000,0,2,0.0588235294117647,1.30718954248366e-08,4.44444444444444e-07,0,14926,0,1,0,0,0,0,0,0.4,3186,0,0,2,0,0.1,0,0.3,0,0,0,0,0,0.5,37890,0,0,0,0,47,2669,0,0,5,Burnley,Liverpool,Crystal Palace,Swansea,,0.0,0.0,0.0,0.0,1.9
Emre,Can,MID,LIV,4900000,0,92,3.5,7.142857142857141e-07,1.87755102040816e-05,0,719612,8,29,0,0,0,3,0,18.8,13250,-1,0,92,1,0.0,0,0.0,10,0,8,0,6,4.3,550040,0,0,0,2,2089,45,0,0,499,West Brom,Stoke,Chelsea,Brighton,,0.0,0.0,0.0,0.0,120.6
Etienne,Capoue,MID,WAT,4800000,2,41,1.20588235294118,2.51225490196078e-07,8.54166666666667e-06,0,299773,3,26,0,0,0,1,0,8.5,254,-7,0,41,7,0.4,0,2.0,0,0,3,0,1,1.4,42472,0,0,0,0,1267,279,0,0,206,Crystal Palace,Tottenham,Newcastle,Man Utd,,0.6,0.6,0.7,0.6,51.2
