FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Pape,Souare,DEF,CRY,4500000,0,0,0.0,0.0,0.0,0,920,0,0,0,0,0,0,0,0.0,41,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,731,0,0,0,0,0,20,0,0,0,Leicester,Swansea,Arsenal,Man City,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harry,Souttar,DEF,STK,4000000,0,0,0.0,0.0,0.0,0,5275,0,0,0,0,0,0,0,0.0,175,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,8779,0,0,0,0,0,112,0,0,0,West Ham,West Brom,Huddersfield,Chelsea,Newcastle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julian,Speroni,GLK,CRY,4100000,2,25,1.47058823529412,3.5868005738880896e-07,6.097560975609761e-06,0,67524,0,10,0,21,0,0,0,6.1,4407,1,0,25,-1,0.7,0,2.8,3,0,1,0,0,5.0,206842,0,0,0,1,720,7684,0,0,123,Leicester,Swansea,Arsenal,Man City,Southampton,0.7,0.7,1.3,0.8,0.8,1.2,0.7,0.8,1.1,0.7,1.2,1.1,0.8,0.7,1.2,0.7,1.4,1.0,0.9,0.7,1.4,14.8
Junior,Stanislas,MID,BOU,5900000,2,27,3.4,5.76271186440678e-07,4.57627118644068e-06,0,14855,1,9,0,0,0,1,0,4.6,199,-1,0,27,1,0.2,0,1.0,3,0,1,0,1,0.1,13022,0,0,0,1,605,134,0,0,99,Liverpool,Man City,West Ham,Everton,Brighton,2.9,2.0,4.2,4.3,2.5,3.8,2.8,2.6,3.4,2.8,3.8,2.7,3.1,3.8,3.0,3.8,2.1,3.1,3.1,4.1,2.7,45.7
Jon Gorenc,Stankovic,DEF,HUD,4000000,0,0,0.0,0.0,0.0,0,5146,0,0,0,0,0,0,0,0.0,93,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,2807,0,0,0,0,0,42,0,0,0,Watford,Southampton,Stoke,Burnley,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maarten,Stekelenburg,GLK,EVE,4300000,0,0,0.0,0.0,0.0,0,18248,0,0,0,0,0,0,0,0.0,251,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.4,2008,0,0,0,0,0,30,0,0,0,Swansea,Chelsea,West Brom,Bournemouth,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dale,Stephens,MID,BHA,4500000,2,42,2.5,5.55555555555556e-07,9.33333333333333e-06,0,93735,0,23,0,0,0,0,0,9.3,4483,0,0,42,0,0.5,0,2.2,0,0,5,0,1,1.5,139378,0,0,0,0,1530,3769,0,0,271,Burnley,Watford,Chelsea,Newcastle,Bournemouth,2.2,1.8,1.5,1.9,2.5,1.7,1.9,1.8,2.8,1.6,2.7,2.5,1.9,1.2,2.2,3.0,1.5,2.0,1.5,2.0,1.2,51.1
Jack,Stephens,DEF,SOU,4500000,0,16,0.941176470588235,2.0915032679738602e-07,3.55555555555556e-06,0,51941,1,5,0,0,0,0,0,3.6,293,-5,0,16,5,0.0,0,0.2,1,0,2,0,0,0.2,14485,0,0,0,0,450,47,0,0,100,Chelsea,Huddersfield,Tottenham,Man Utd,Crystal Palace,0.5,0.7,0.5,0.5,1.3,0.6,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,17.2
Raheem,Sterling,MID,MCI,8400000,9,100,6.7,7.976190476190479e-07,1.19047619047619e-05,0,939072,1,9,0,0,0,9,0,12.0,40901,4,-1,100,-4,0.8,0,6.3,9,0,5,0,6,20.0,1683934,0,0,0,3,1116,58499,1,1,330,Tottenham,Bournemouth,Newcastle,Crystal Palace,Watford,7.9,9.0,8.8,7.9,7.3,6.7,9.1,9.2,8.0,8.4,7.0,7.6,8.1,8.5,8.5,8.0,7.1,8.8,8.2,10.0,8.7,142.8
,Steve Cook,DEF,BOU,4800000,0,37,2.17647058823529,4.5343137254902003e-07,7.70833333333333e-06,0,62335,4,16,0,0,0,1,0,7.7,8435,-2,1,37,2,0.5,0,2.3,4,0,3,0,0,1.6,98669,0,0,0,1,1029,244,-1,0,184,Liverpool,Man City,West Ham,Everton,Brighton,2.0,1.3,2.8,1.6,1.8,2.1,1.9,1.7,2.0,1.5,1.8,1.2,2.1,2.3,2.1,3.2,1.5,1.9,1.8,1.6,1.6,43.5
