FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW37Forecast,GW38Forecast,ICTIndex
Theo,Walcott,MID,EVE,6700000,6,61,1.69444444444444,2.52902155887231e-07,9.104477611940302e-06,0,614163,2,15,0,0,0,3,0,9.0,17646,-8,1,61,8,0.7,0,4.8,3,0,4,0,3,2.5,605645,0,0,0,1,1185,2715,-1,0,228,Southampton,West Ham,,,,1.2,0.8,93.7
Kyle,Walker,DEF,MCI,6600000,2,130,4.2,6.36363636363636e-07,1.96969696969697e-05,0,1271118,2,22,0,0,0,0,0,19.7,50694,1,0,130,-1,0.2,0,1.0,6,0,14,0,6,12.3,805401,1,0,0,3,2694,1360,0,1,663,Huddersfield,Brighton,Southampton,,,0.0,5.0,109.5
Kyle,Walker-Peters,DEF,TOT,4000000,0,7,0.2,5e-08,1.75e-06,0,141645,0,0,0,0,0,0,0,1.8,482,-5,0,7,5,0.0,0,0.0,0,0,1,0,0,0.9,122331,0,0,0,0,98,359,0,0,33,West Brom,Newcastle,Leicester,,,0.2,0.1,4.4
Jonathan,Walters,MID,BUR,5100000,0,3,1.0,1.9607843137254898e-07,5.882352941176471e-07,0,30912,0,2,0,0,0,0,0,0.6,8,-4,0,3,4,0.0,0,0.0,0,0,0,0,0,0.1,1714,0,0,0,0,36,6,0,0,3,Arsenal,Bournemouth,,,,0.0,0.0,1.1
Aaron,Wan-Bissaka,MID,CRY,4500000,0,12,0.33333333333333304,7.40740740740741e-08,2.66666666666667e-06,0,618,1,10,0,0,0,0,0,2.7,77,0,0,12,0,0.1,0,0.5,0,0,1,0,0,0.0,1045,0,0,0,0,537,15,0,0,91,Stoke,West Brom,,,,0.2,0.2,21.9
Victor,Wanyama,MID,TOT,4800000,0,26,0.742857142857143,1.5476190476190501e-07,5.41666666666667e-06,0,44907,1,6,0,0,0,1,0,5.4,133,-2,0,26,2,0.2,0,1.0,1,0,1,0,0,0.4,10611,0,0,0,0,570,123,0,0,129,West Brom,Newcastle,Leicester,,,0.8,0.4,28.1
Danny,Ward,GLK,LIV,4400000,0,0,0.0,0.0,0.0,0,1130,0,0,0,0,0,0,0,0.0,11,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,1013,0,0,0,0,0,15,0,0,0,Chelsea,Brighton,,,,0.0,0.0,0.0
Joel,Ward,DEF,CRY,4700000,6,40,1.11111111111111,2.3640661938534303e-07,8.510638297872341e-06,0,32307,4,25,0,0,0,0,0,8.5,165,-3,0,40,3,0.6,0,3.0,0,0,4,0,1,0.2,11604,1,0,0,0,1574,481,0,0,273,Stoke,West Brom,,,,0.6,0.6,56.1
Stephen,Ward,DEF,BUR,4800000,6,101,3.9,8.125e-07,2.10416666666667e-05,0,1526071,1,20,0,0,0,1,0,21.0,39872,3,0,101,-3,0.5,0,2.6,9,0,9,0,1,8.3,1732730,0,0,0,1,2280,4361,0,0,457,Arsenal,Bournemouth,,,,3.4,3.9,76.7
James,Ward-Prowse,MID,SOU,4900000,1,83,2.3714285714285697,4.8396501457726e-07,1.69387755102041e-05,0,276859,2,27,0,0,0,3,0,16.9,4641,-6,0,83,6,0.4,0,2.0,8,0,2,0,5,1.8,245837,0,0,0,1,1662,3351,0,0,363,Everton,Swansea,Man City,,,3.6,1.2,123.4
