FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Domingos,Quina,MID,WHU,4400000,0,0,0.0,0.0,0.0,0,1154,0,0,0,0,0,0,0,0.0,101,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,1914,0,0,0,0,0,35,0,0,0,Southampton,Chelsea,Stoke,Arsenal,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erdal,Rakip,MID,CRY,4900000,0,0,0.0,0.0,0.0,0,124,0,0,0,0,0,0,0,0.0,9,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,181,0,0,0,0,0,6,0,0,0,Huddersfield,Liverpool,Bournemouth,Brighton,Watford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron,Ramsdale,GLK,BOU,4000000,0,0,0.0,0.0,0.0,0,8665,0,0,0,0,0,0,0,0.0,166,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,16479,0,0,0,0,0,6,0,0,0,West Brom,Watford,Crystal Palace,Liverpool,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron,Ramsey,MID,ARS,6900000,0,106,5.6,8.115942028985509e-07,1.53623188405797e-05,0,986219,0,21,0,0,0,6,0,15.4,26688,-1,0,106,1,0.1,0,0.7,10,0,7,0,8,3.3,1059195,0,0,0,2,1466,3169,0,0,399,Stoke,Southampton,Newcastle,West Ham,Man Utd,0.0,7.6,7.4,5.2,8.1,3.5,7.4,5.1,148.7
Darren,Randolph,GLK,WHU,4500000,0,0,0.0,0.0,0.0,0,978,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,140,0,0,0,0,0,4,0,0,0,Southampton,Chelsea,Stoke,Arsenal,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angel,Rangel,DEF,SWA,3900000,0,3,0.1,2.56410256410256e-08,7.69230769230769e-07,0,750738,0,1,0,0,0,0,0,0.8,8619,-1,0,3,1,0.0,0,0.0,0,0,0,0,0,7.8,288034,0,0,0,0,64,466,0,0,12,Man Utd,West Brom,Everton,Man City,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
Marcus,Rashford,FWD,MUN,7300000,12,87,3.2,4.38356164383562e-07,1.19178082191781e-05,0,1103627,3,14,0,0,0,6,0,11.9,3773,-2,0,87,2,0.6,0,4.3,9,0,8,0,5,6.0,1061030,0,0,0,1,1435,49722,0,0,328,Swansea,Man City,West Brom,Bournemouth,Arsenal,0.0,3.6,2.3,4.1,2.9,3.8,2.5,3.8,147.2
Nathan,Redmond,MID,SOU,5900000,2,55,2.2,3.7288135593220294e-07,9.32203389830509e-06,0,374913,3,26,0,0,0,0,0,9.3,592,-6,0,55,6,0.4,0,2.3,2,0,5,0,3,1.8,84218,0,0,0,0,1641,95,0,0,249,West Ham,Arsenal,Chelsea,Leicester,Bournemouth,0.0,1.5,1.2,1.5,1.4,1.8,1.7,1.1,126.3
Winston,Reid,DEF,WHU,4800000,0,42,2.5,5.20833333333333e-07,8.75e-06,0,76518,5,27,0,0,0,0,0,8.8,431,-2,0,42,2,0.1,0,0.3,3,0,5,0,0,0.6,22028,0,0,0,0,1452,18,0,0,264,Southampton,Chelsea,Stoke,Arsenal,Man City,0.0,0.0,0.0,0.0,0.0,2.1,1.5,2.3,43.6
Declan,Rice,DEF,WHU,4400000,0,17,0.566666666666667,1.28787878787879e-07,3.86363636363636e-06,0,3379,1,18,0,0,0,0,0,3.9,119,-1,0,17,1,0.1,0,0.3,0,0,0,0,0,0.1,4386,0,0,0,0,701,15,0,0,129,Southampton,Chelsea,Stoke,Arsenal,Man City,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,17.2
,Richarlison,MID,WAT,6000000,2,114,3.8,6.33333333333333e-07,1.9e-05,0,1704022,4,46,0,0,0,5,0,19.0,17288,0,0,114,0,0.2,0,1.3,4,0,8,0,8,8.7,2056550,0,0,0,2,2482,13238,0,0,275,Liverpool,Bournemouth,Burnley,Huddersfield,Crystal Palace,2.4,4.3,4.0,3.3,4.1,2.5,4.3,2.2,192.6
