FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW37Forecast,GW38Forecast
Michael,Folivi,FWD,WAT,4500000,0,1,1.0,2.22222222222222e-07,2.22222222222222e-07,0,401,0,0,0,0,0,0,0,0.2,6,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0.0,476,0,0,0,0,10,3,0,0,2,Everton,Chelsea,Man City,,,0.0,0.0
Jose,Fonte,DEF,WHU,5300000,7,95,3.1,5.849056603773579e-07,1.7924528301886802e-05,0,244821,4,44,0,0,0,0,0,17.9,1646,-2,0,95,2,1.0,0,5.5,10,0,11,0,0,3.2,157212,0,487,0,1,2790,1310,0,0,571,Liverpool,Burnley,,,,4.2,2.1
Adam,Forshaw,MID,MID,4500000,1,74,2.3,5.11111111111111e-07,1.64444444444444e-05,0,50154,4,31,0,0,0,0,0,16.4,875,0,0,74,0,0.3,0,1.4,3,0,9,0,2,0.4,61622,0,0,0,0,2546,46,0,0,398,Southampton,Liverpool,,,,1.8,1.2
Fraser,Forster,GLK,SOU,5000000,17,124,3.5,7e-07,2.48e-05,0,220724,3,46,0,72,0,0,0,24.8,3130,0,0,124,0,1.0,0,5.0,4,0,13,0,0,4.9,219592,0,233,1,1,3150,23369,0,0,582,Middlesbrough,Man Utd,Stoke,,,6.5,4.7
Ben,Foster,GLK,WBA,4700000,2,106,3.0,6.382978723404259e-07,2.25531914893617e-05,0,512373,2,45,0,104,0,0,0,22.6,17000,2,0,106,-2,0.4,0,2.0,4,0,6,0,0,12.7,672940,0,129,0,2,3150,2660,0,0,580,Chelsea,Man City,Swansea,,,5.9,2.5
Timothy,Fosu-Mensah,DEF,MUN,4100000,0,3,1.0,2.4390243902438996e-07,7.317073170731709e-07,0,10014,0,0,0,0,0,0,0,0.7,81,-4,0,3,4,0.1,0,0.4,0,0,0,0,0,0.1,4154,0,40,0,0,7,18,0,0,8,Tottenham,Southampton,Crystal Palace,,,0.0,0.0
Simon,Francis,DEF,BOU,4500000,1,86,2.7,6e-07,1.9111111111111103e-05,0,176010,3,52,0,0,0,0,0,19.1,2023,0,0,86,0,0.8,0,3.8,7,0,10,0,1,1.4,171642,0,462,0,1,2758,933,0,1,608,Burnley,Leicester,,,,2.8,1.4
Ryan,Fraser,MID,BOU,4600000,1,94,0.87037037037037,1.89210950080515e-07,2.04347826086957e-05,0,115240,3,30,0,0,0,3,0,20.4,7780,-4,0,94,4,0.7,0,3.3,8,0,7,0,8,1.3,167091,0,0,0,2,1666,1727,0,0,327,Burnley,Leicester,,,,0.0,0.4
George,Friend,DEF,MID,4200000,1,57,2.6,6.19047619047619e-07,1.35714285714286e-05,0,296474,4,30,0,0,0,0,0,13.6,1945,-3,0,57,3,0.5,0,2.2,6,0,4,0,3,1.8,155186,0,0,0,0,1784,468,0,0,345,Southampton,Liverpool,,,,3.2,2.7
Dael,Fry,DEF,MID,4000000,0,0,0.0,0.0,0.0,0,66201,0,0,0,0,0,0,0,0.0,162,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.5,4596,0,0,0,0,0,40,0,0,0,Southampton,Liverpool,,,,0.0,0.0
