FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Borja,Baston,FWD,SWA,6600000,1,31,0.303921568627451,4.60487225193108e-08,4.6969696969697e-06,0,10193,0,11,0,0,0,1,0,4.7,27,-4,0,31,4,0.1,0,0.4,1,0,1,0,2,0.0,6855,0,0,0,0,557,13,0,0,79,Man Utd,Everton,Sunderland,West Brom,,0.2,0.2,0.2,0.2
Michy,Batshuayi,FWD,CHE,8500000,0,25,1.5,1.7647058823529398e-07,2.94117647058824e-06,0,130241,0,0,0,0,0,1,0,2.9,82,-5,0,25,5,0.0,0,0.2,1,0,0,0,1,0.9,61011,0,0,0,0,127,23,0,0,68,Everton,Middlesbrough,West Brom,Watford,Sunderland,0.8,1.1,2.1,1.4
Asmir,Begovic,GLK,CHE,4700000,0,1,0.00980392156862745,2.08594075928244e-09,2.1276595744680897e-07,0,6762,0,2,0,1,0,0,0,0.2,124,-3,0,1,3,0.0,0,0.2,0,0,0,0,0,0.2,2017,0,150,0,0,90,19,0,0,9,Everton,Middlesbrough,West Brom,Watford,Sunderland,0.0,0.0,0.0,0.0
Valon,Behrami,MID,WAT,4500000,0,43,1.8,4e-07,9.55555555555555e-06,0,17485,6,29,0,0,0,0,0,9.6,34,0,0,43,0,0.0,0,0.2,0,0,5,0,0,0.2,12924,0,127,0,0,1780,18,0,0,224,Liverpool,Leicester,Everton,Chelsea,Man City,1.0,0.9,1.8,1.0
Hector,Bellerin,DEF,ARS,6500000,7,95,3.5,5.384615384615379e-07,1.46153846153846e-05,0,1014713,2,32,0,0,0,0,0,14.6,2779,0,0,95,0,0.5,0,3.0,11,0,9,0,3,13.8,386505,0,541,0,1,2155,2013,0,0,469,Tottenham,Man Utd,Southampton,Stoke,Sunderland,2.8,7.1,7.5,4.1
Yohan,Benalouane,DEF,LEI,4000000,1,15,0.147058823529412,3.67647058823529e-08,3.75e-06,0,11373,1,9,0,0,0,0,0,3.8,866,0,0,15,0,0.7,0,2.8,0,0,2,0,0,0.5,18585,0,15,0,0,524,4456,0,0,89,West Brom,Watford,Man City,Tottenham,Bournemouth,0.1,0.1,0.2,0.1
Nabil,Bentaleb,MID,TOT,4500000,0,0,0.0,0.0,0.0,0,4354,0,0,0,0,0,0,0,0.0,3,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,538,0,29,0,0,0,2,0,0,0,Arsenal,West Ham,Man Utd,Leicester,Hull City,0.0,0.0,0.0,0.0
Saido,Berahino,FWD,STK,6000000,2,23,0.22549019607843104,3.75816993464052e-08,3.833333333333329e-06,0,64331,1,11,0,0,0,0,0,3.8,768,-5,0,23,5,0.3,0,1.8,0,0,3,0,0,0.5,35247,0,226,0,0,843,426,0,0,43,West Ham,Bournemouth,Arsenal,Southampton,,0.1,0.1,0.1,0.1
Steven,Berghuis,MID,WAT,5000000,0,0,0.0,0.0,0.0,0,94,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,45,0,55,0,0,0,1,0,0,0,Liverpool,Leicester,Everton,Chelsea,Man City,0.0,0.0,0.0,0.0
,Bernardo,DEF,MID,4300000,0,35,0.343137254901961,7.97993616051071e-08,8.139534883720931e-06,0,5557,2,13,0,0,0,0,0,8.1,1071,-2,0,35,2,0.5,0,2.0,3,0,4,0,0,0.1,10272,0,0,0,0,975,18,0,0,198,Man City,Chelsea,Southampton,Liverpool,,0.2,0.2,0.2,0.2
