FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW36Forecast,GW37Forecast,GW38Forecast
Danny,Ings,FWD,LIV,5400000,0,0,0.0,0.0,0.0,0,23556,0,0,0,0,0,0,0,0.0,16,-6,0,0,6,0.0,0,0.0,0,0,0,0,0,0.2,4173,0,81,0,0,0,13,0,0,0,Southampton,West Ham,Middlesbrough,,,0.0,0.0,0.0
Gokhan,Inler,MID,LEI,4400000,0,0,0.0,0.0,0.0,0,9954,0,0,0,0,0,0,0,0.0,8,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.1,3797,0,20,0,0,0,3,0,0,0,Watford,Man City,Tottenham,Bournemouth,,0.0,0.0,0.0
Stephen,Ireland,MID,STK,4400000,0,0,0.0,0.0,0.0,0,644,0,0,0,0,0,0,0,0.0,4,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,538,0,18,0,0,0,5,0,0,0,Bournemouth,Arsenal,Southampton,,,0.0,0.0,0.0
Lloyd,Isgrove,MID,SOU,4400000,0,0,0.0,0.0,0.0,0,275,0,0,0,0,0,0,0,0.0,8,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,341,0,0,0,0,0,4,0,0,0,Liverpool,Arsenal,Middlesbrough,Man Utd,Stoke,0.0,0.0,0.0
Branislav,Ivanovic,DEF,CHE,5600000,0,23,1.8,3.2142857142857103e-07,4.10714285714286e-06,0,194175,2,9,0,0,0,0,0,4.1,160,-4,0,23,4,0.0,0,0.0,2,0,1,0,1,2.7,34557,0,414,0,0,589,22,0,0,143,Middlesbrough,West Brom,Watford,Sunderland,,0.0,0.0,0.0
Alex,Iwobi,MID,ARS,5300000,0,87,0.8285714285714291,1.5633423180593e-07,1.64150943396226e-05,0,275581,1,20,0,0,0,3,0,16.4,1378,-7,0,87,7,0.0,0,0.0,8,0,9,0,5,1.2,259201,0,150,0,1,1411,853,0,0,345,Man Utd,Southampton,Stoke,Sunderland,Everton,0.8,0.9,0.4
Phil,Jagielka,DEF,EVE,4800000,1,90,3.8,7.91666666666667e-07,1.875e-05,0,284577,3,28,0,0,0,3,0,18.8,5826,-2,0,90,2,1.8,0,8.4,13,0,5,0,2,7.7,508475,0,221,0,4,1981,11510,0,1,465,Swansea,Watford,Arsenal,,,3.5,4.8,4.2
Eldin,Jakupovic,GLK,HUL,4100000,14,84,4.2,1.02439024390244e-06,2.04878048780488e-05,0,502125,0,30,0,70,0,0,0,20.5,8922,1,0,84,-1,1.2,0,5.0,7,0,5,0,0,22.4,830748,0,0,2,3,1800,17816,0,0,408,Sunderland,Crystal Palace,Tottenham,,,5.4,4.8,5.8
Daniel,James,MID,SWA,4500000,0,0,0.0,0.0,0.0,0,365,0,0,0,0,0,0,0,0.0,7,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,423,0,0,0,0,0,7,0,0,0,Everton,Sunderland,West Brom,,,0.0,0.0,0.0
Matthew,James,MID,LEI,4500000,0,1,1.0,2.22222222222222e-07,2.22222222222222e-07,0,246,0,0,0,0,0,0,0,0.2,1,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0.0,224,0,0,0,0,1,2,0,0,3,Watford,Man City,Tottenham,Bournemouth,,0.0,0.0,0.0
